# G2400186.mdx  size=2,716,274 B  records=48731
0x00000a0f	session_02
0x0006565c	did_DE03_subfield_215
0x00065673	BluetoothPhoneStatusAlert_status
0x000656c0	did_de03_subfield_216_data_def_enum_1
0x000656f7	did_de03_subfield_216_data_def_enum_2
0x0006572e	did_de03_subfield_216_data_def_enum_3
0x00065765	did_de03_subfield_216_data_def_enum_4
0x0006579e	did_de03_subfield_216_data_def
0x000657cb	did_DE03_subfield_216
0x000657e2	PreEventBasedDriverBehaviorAlert_qosLevel
0x00065838	did_de03_subfield_217_data_def_enum_1
0x00065869	Alert is held, send is delayed until next DRX Wakeup, IGN ON, or other alarm
0x000658b7	did_de03_subfield_217_data_def_enum_2
0x000658ee	did_de03_subfield_217_data_def_enum_3
0x0006591f	Alert sent immediately; DRX reset only if VBATT is not low, otherwise connection time extended
0x0006597f	did_de03_subfield_217_data_def_enum_4
0x000659b0	Alert sent immediately; DRX reset only if VBATT is not low; Conenction time not extended
0x00065a0a	did_de03_subfield_217_data_def_enum_5
0x00065a3b	Alert sent immediately; DRX continues; Connection time extended
0x00065a7c	did_de03_subfield_217_data_def_enum_6
0x00065aad	Alert sent immediately; DRX continues; Connection time extended only if VBATT is not low
0x00065b07	did_de03_subfield_217_data_def_enum_7
0x00065b38	Alert sent immediately; DRX continues; Connection time not extended
0x00065b7d	did_de03_subfield_217_data_def_enum_8
0x00065bb6	did_de03_subfield_217_data_def
0x00065be3	did_DE03_subfield_217
0x00065bfa	PreEventBasedDriverBehaviorAlert_inDRXStatus
0x00065c51	did_de03_subfield_218_data_def_enum_1
0x00065c86	did_de03_subfield_218_data_def_enum_2
0x00065cbf	did_de03_subfield_218_data_def
0x00065cec	did_DE03_subfield_218
0x00065d03	PreEventBasedDriverBehaviorAlert_inRoamingStatus
0x00065d5e	did_de03_subfield_219_data_def_enum_1
0x00065d93	did_de03_subfield_219_data_def_enum_2
0x00065dcc	did_de03_subfield_219_data_def
0x00065df9	did_DE03_subfield_219
0x00065e10	PreEventBasedDriverBehaviorAlert_PriorityID
0x00065e66	did_de03_subfield_220_data_def_enum_1
0x00065e9b	did_de03_subfield_220_data_def_enum_2
0x00065ed4	did_de03_subfield_220_data_def
0x00065f01	did_DE03_subfield_220
0x00065f18	PreEventBasedDriverBehaviorAlert_status
0x00065f6c	did_de03_subfield_221_data_def_enum_1
0x00065fa3	did_de03_subfield_221_data_def_enum_2
0x00065fda	did_de03_subfield_221_data_def_enum_3
0x00066011	did_de03_subfield_221_data_def_enum_4
0x0006604a	did_de03_subfield_221_data_def
0x00066077	did_DE03_subfield_221
0x0006608e	AccessoryModeStatusAlert_qosLevel
0x000660dc	did_de03_subfield_222_data_def_enum_1
0x0006610d	Alert is held, send is delayed until next DRX Wakeup, IGN ON, or other alarm
0x0006615b	did_de03_subfield_222_data_def_enum_2
0x00066192	did_de03_subfield_222_data_def_enum_3
0x000661c3	Alert sent immediately; DRX reset only if VBATT is not low, otherwise connection time extended
0x00066223	did_de03_subfield_222_data_def_enum_4
0x00066254	Alert sent immediately; DRX reset only if VBATT is not low; Conenction time not extended
0x000662ae	did_de03_subfield_222_data_def_enum_5
0x000662df	Alert sent immediately; DRX continues; Connection time extended
0x00066320	did_de03_subfield_222_data_def_enum_6
0x00066351	Alert sent immediately; DRX continues; Connection time extended only if VBATT is not low
0x000663ab	did_de03_subfield_222_data_def_enum_7
0x000663dc	Alert sent immediately; DRX continues; Connection time not extended
0x00066421	did_de03_subfield_222_data_def_enum_8
0x0006645a	did_de03_subfield_222_data_def
0x00066487	did_DE03_subfield_222
0x0006649e	AccessoryModeStatusAlert_inDRXStatus
0x000664ed	did_de03_subfield_223_data_def_enum_1
0x00066522	did_de03_subfield_223_data_def_enum_2
0x0006655b	did_de03_subfield_223_data_def
0x00066588	did_DE03_subfield_223
0x0006659f	AccessoryModeStatusAlert_inRoamingStatus
0x000665f2	did_de03_subfield_224_data_def_enum_1
0x00066627	did_de03_subfield_224_data_def_enum_2
0x00066660	did_de03_subfield_224_data_def
0x0006668d	did_DE03_subfield_224
0x000666a4	AccessoryModeStatusAlert_PriorityID
0x000666f2	did_de03_subfield_225_data_def_enum_1
0x00066727	did_de03_subfield_225_data_def_enum_2
0x00066760	did_de03_subfield_225_data_def
0x0006678d	did_DE03_subfield_225
0x000667a4	AccessoryModeStatusAlert_status
0x000667cd	did_DE03
0x000667d7	Fleet Alert Configuration
0x00066866	did_de04_subfield_1_data_def_enum_1
0x0006689b	did_de04_subfield_1_data_def_enum_2
0x000668d0	did_de04_subfield_1_data_def_enum_3
0x00066905	did_de04_subfield_1_data_def_enum_4
0x0006693c	did_de04_subfield_1_data_def
0x00066967	did_DE04_subfield_1
0x0006697c	ABSEventAlert_qosLevel
0x000669c3	did_de04_subfield_2_data_def_enum_1
0x000669f2	Alert is held, send is delayed until next DRX Wakeup, IGN ON, or other alarm
0x00066a40	did_de04_subfield_2_data_def_enum_2
0x00066a75	did_de04_subfield_2_data_def_enum_3
0x00066aa4	Alert sent immediately; DRX reset only if VBATT is not low, otherwise connection time extended
0x00066b04	did_de04_subfield_2_data_def_enum_4
0x00066b33	Alert sent immediately; DRX reset only if VBATT is not low; Conenction time not extended
0x00066b8d	did_de04_subfield_2_data_def_enum_5
0x00066bbc	Alert sent immediately; DRX continues; Connection time extended
0x00066bfd	did_de04_subfield_2_data_def_enum_6
0x00066c2c	Alert sent immediately; DRX continues; Connection time extended only if VBATT is not low
0x00066c86	did_de04_subfield_2_data_def_enum_7
0x00066cb5	Alert sent immediately; DRX continues; Connection time not extended
0x00066cfa	did_de04_subfield_2_data_def_enum_8
0x00066d31	did_de04_subfield_2_data_def
0x00066d5c	did_DE04_subfield_2
0x00066d71	ABSEventAlert_inDRXStatus
0x00066db9	did_de04_subfield_3_data_def_enum_1
0x00066dec	did_de04_subfield_3_data_def_enum_2
0x00066e23	did_de04_subfield_3_data_def
0x00066e4e	did_DE04_subfield_3
0x00066e63	ABSEventAlert_inRoamingStatus
0x00066eaf	did_de04_subfield_4_data_def_enum_1
0x00066ee2	did_de04_subfield_4_data_def_enum_2
0x00066f19	did_de04_subfield_4_data_def
0x00066f44	did_DE04_subfield_4
0x00066f59	ABSEventAlert_PriorityID
0x00066fa0	did_de04_subfield_5_data_def_enum_1
0x00066fd3	did_de04_subfield_5_data_def_enum_2
0x0006700a	did_de04_subfield_5_data_def
0x00067035	did_DE04_subfield_5
0x0006704a	ABSEventAlert_status
0x0006708f	did_de04_subfield_6_data_def_enum_1
0x000670c4	did_de04_subfield_6_data_def_enum_2
0x000670f9	did_de04_subfield_6_data_def_enum_3
0x0006712e	did_de04_subfield_6_data_def_enum_4
0x00067165	did_de04_subfield_6_data_def
0x00067190	did_DE04_subfield_6
0x000671a5	AdvanceTracEventAlert_qosLevel
0x000671f4	did_de04_subfield_7_data_def_enum_1
0x00067223	Alert is held, send is delayed until next DRX Wakeup, IGN ON, or other alarm
0x00067271	did_de04_subfield_7_data_def_enum_2
0x000672a6	did_de04_subfield_7_data_def_enum_3
0x000672d5	Alert sent immediately; DRX reset only if VBATT is not low, otherwise connection time extended
0x00067335	did_de04_subfield_7_data_def_enum_4
0x00067364	Alert sent immediately; DRX reset only if VBATT is not low; Conenction time not extended
0x000673be	did_de04_subfield_7_data_def_enum_5
0x000673ed	Alert sent immediately; DRX continues; Connection time extended
0x0006742e	did_de04_subfield_7_data_def_enum_6
0x0006745d	Alert sent immediately; DRX continues; Connection time extended only if VBATT is not low
0x000674b7	did_de04_subfield_7_data_def_enum_7
0x000674e6	Alert sent immediately; DRX continues; Connection time not extended
0x0006752b	did_de04_subfield_7_data_def_enum_8
0x00067562	did_de04_subfield_7_data_def
0x0006758d	did_DE04_subfield_7
0x000675a2	AdvanceTracEventAlert_inDRXStatus
0x000675f2	did_de04_subfield_8_data_def_enum_1
0x00067625	did_de04_subfield_8_data_def_enum_2
0x0006765c	did_de04_subfield_8_data_def
0x00067687	did_DE04_subfield_8
0x0006769c	AdvanceTracEventAlert_inRoamingStatus
0x000676f0	did_de04_subfield_9_data_def_enum_1
0x00067723	did_de04_subfield_9_data_def_enum_2
0x0006775a	did_de04_subfield_9_data_def
0x00067785	did_DE04_subfield_9
0x0006779a	AdvanceTracEventAlert_PriorityID
0x000677e9	did_de04_subfield_10_data_def_enum_1
0x0006781d	did_de04_subfield_10_data_def_enum_2
0x00067855	did_de04_subfield_10_data_def
0x00067881	did_DE04_subfield_10
0x00067897	AdvanceTracEventAlert_status
0x000678e4	did_de04_subfield_11_data_def_enum_1
0x0006791a	did_de04_subfield_11_data_def_enum_2
0x00067950	did_de04_subfield_11_data_def_enum_3
0x00067986	did_de04_subfield_11_data_def_enum_4
0x000679be	did_de04_subfield_11_data_def
0x000679ea	did_DE04_subfield_11
0x00067a00	BLISCrossDisabledAlert_qosLevel
0x00067a50	did_de04_subfield_12_data_def_enum_1
0x00067a80	Alert is held, send is delayed until next DRX Wakeup, IGN ON, or other alarm
0x00067ace	did_de04_subfield_12_data_def_enum_2
0x00067b04	did_de04_subfield_12_data_def_enum_3
0x00067b34	Alert sent immediately; DRX reset only if VBATT is not low, otherwise connection time extended
0x00067b94	did_de04_subfield_12_data_def_enum_4
0x00067bc4	Alert sent immediately; DRX reset only if VBATT is not low; Conenction time not extended
0x00067c1e	did_de04_subfield_12_data_def_enum_5
0x00067c4e	Alert sent immediately; DRX continues; Connection time extended
0x00067c8f	did_de04_subfield_12_data_def_enum_6
0x00067cbf	Alert sent immediately; DRX continues; Connection time extended only if VBATT is not low
0x00067d19	did_de04_subfield_12_data_def_enum_7
0x00067d49	Alert sent immediately; DRX continues; Connection time not extended
0x00067d8e	did_de04_subfield_12_data_def_enum_8
0x00067dc6	did_de04_subfield_12_data_def
0x00067df2	did_DE04_subfield_12
0x00067e08	BLISCrossDisabledAlert_inDRXStatus
0x00067e59	did_de04_subfield_13_data_def_enum_1
0x00067e8d	did_de04_subfield_13_data_def_enum_2
0x00067ec5	did_de04_subfield_13_data_def
0x00067ef1	did_DE04_subfield_13
0x00067f07	BLISCrossDisabledAlert_inRoamingStatus
0x00067f5c	did_de04_subfield_14_data_def_enum_1
0x00067f90	did_de04_subfield_14_data_def_enum_2
0x00067fc8	did_de04_subfield_14_data_def
0x00067ff4	did_DE04_subfield_14
0x0006800a	BLISCrossDisabledAlert_PriorityID
0x0006805a	did_de04_subfield_15_data_def_enum_1
0x0006808e	did_de04_subfield_15_data_def_enum_2
0x000680c6	did_de04_subfield_15_data_def
0x000680f2	did_DE04_subfield_15
0x00068108	BLISCrossDisabledAlert_status
0x00068156	did_de04_subfield_16_data_def_enum_1
0x0006818c	did_de04_subfield_16_data_def_enum_2
0x000681c2	did_de04_subfield_16_data_def_enum_3
0x000681f8	did_de04_subfield_16_data_def_enum_4
0x00068230	did_de04_subfield_16_data_def
0x0006825c	did_DE04_subfield_16
0x00068272	BLISSideDisabledAlert_qosLevel
0x000682c1	did_de04_subfield_17_data_def_enum_1
0x000682f1	Alert is held, send is delayed until next DRX Wakeup, IGN ON, or other alarm
0x0006833f	did_de04_subfield_17_data_def_enum_2
0x00068375	did_de04_subfield_17_data_def_enum_3
0x000683a5	Alert sent immediately; DRX reset only if VBATT is not low, otherwise connection time extended
0x00068405	did_de04_subfield_17_data_def_enum_4
0x00068435	Alert sent immediately; DRX reset only if VBATT is not low; Conenction time not extended
0x0006848f	did_de04_subfield_17_data_def_enum_5
0x000684bf	Alert sent immediately; DRX continues; Connection time extended
0x00068500	did_de04_subfield_17_data_def_enum_6
0x00068530	Alert sent immediately; DRX continues; Connection time extended only if VBATT is not low
0x0006858a	did_de04_subfield_17_data_def_enum_7
0x000685ba	Alert sent immediately; DRX continues; Connection time not extended
0x000685ff	did_de04_subfield_17_data_def_enum_8
0x00068637	did_de04_subfield_17_data_def
0x00068663	did_DE04_subfield_17
0x00068679	BLISSideDisabledAlert_inDRXStatus
0x000686c9	did_de04_subfield_18_data_def_enum_1
0x000686fd	did_de04_subfield_18_data_def_enum_2
0x00068735	did_de04_subfield_18_data_def
0x00068761	did_DE04_subfield_18
0x00068777	BLISSideDisabledAlert_inRoamingStatus
0x000687cb	did_de04_subfield_19_data_def_enum_1
0x000687ff	did_de04_subfield_19_data_def_enum_2
0x00068837	did_de04_subfield_19_data_def
0x00068863	did_DE04_subfield_19
0x00068879	BLISSideDisabledAlert_PriorityID
0x000688c8	did_de04_subfield_20_data_def_enum_1
0x000688fc	did_de04_subfield_20_data_def_enum_2
0x00068934	did_de04_subfield_20_data_def
0x00068960	did_DE04_subfield_20
0x00068976	BLISSideDisabledAlert_status
0x000689c3	did_de04_subfield_21_data_def_enum_1
0x000689f9	did_de04_subfield_21_data_def_enum_2
0x00068a2f	did_de04_subfield_21_data_def_enum_3
0x00068a65	did_de04_subfield_21_data_def_enum_4
0x00068a9d	did_de04_subfield_21_data_def
0x00068ac9	did_DE04_subfield_21
0x00068adf	CollisionMitigationBrakingEventAlert_qosLevel
0x00068b3d	did_de04_subfield_22_data_def_enum_1
0x00068b6d	Alert is held, send is delayed until next DRX Wakeup, IGN ON, or other alarm
0x00068bbb	did_de04_subfield_22_data_def_enum_2
0x00068bf1	did_de04_subfield_22_data_def_enum_3
0x00068c21	Alert sent immediately; DRX reset only if VBATT is not low, otherwise connection time extended
0x00068c81	did_de04_subfield_22_data_def_enum_4
0x00068cb1	Alert sent immediately; DRX reset only if VBATT is not low; Conenction time not extended
0x00068d0b	did_de04_subfield_22_data_def_enum_5
0x00068d3b	Alert sent immediately; DRX continues; Connection time extended
0x00068d7c	did_de04_subfield_22_data_def_enum_6
0x00068dac	Alert sent immediately; DRX continues; Connection time extended only if VBATT is not low
0x00068e06	did_de04_subfield_22_data_def_enum_7
0x00068e36	Alert sent immediately; DRX continues; Connection time not extended
0x00068e7b	did_de04_subfield_22_data_def_enum_8
0x00068eb3	did_de04_subfield_22_data_def
0x00068edf	did_DE04_subfield_22
0x00068ef5	CollisionMitigationBrakingEventAlert_inDRXStatus
0x00068f54	did_de04_subfield_23_data_def_enum_1
0x00068f88	did_de04_subfield_23_data_def_enum_2
0x00068fc0	did_de04_subfield_23_data_def
0x00068fec	did_DE04_subfield_23
0x00069002	CollisionMitigationBrakingEventAlert_inRoamingStatus
0x00069065	did_de04_subfield_24_data_def_enum_1
0x00069099	did_de04_subfield_24_data_def_enum_2
0x000690d1	did_de04_subfield_24_data_def
0x000690fd	did_DE04_subfield_24
0x00069113	CollisionMitigationBrakingEventAlert_PriorityID
0x00069171	did_de04_subfield_25_data_def_enum_1
0x000691a5	did_de04_subfield_25_data_def_enum_2
0x000691dd	did_de04_subfield_25_data_def
0x00069209	did_DE04_subfield_25
0x0006921f	CollisionMitigationBrakingEventAlert_status
0x0006927b	did_de04_subfield_26_data_def_enum_1
0x000692b1	did_de04_subfield_26_data_def_enum_2
0x000692e7	did_de04_subfield_26_data_def_enum_3
0x0006931d	did_de04_subfield_26_data_def_enum_4
0x00069355	did_de04_subfield_26_data_def
0x00069381	did_DE04_subfield_26
0x00069397	DASDisabledAlert_qosLevel
0x000693e1	did_de04_subfield_27_data_def_enum_1
0x00069411	Alert is held, send is delayed until next DRX Wakeup, IGN ON, or other alarm
0x0006945f	did_de04_subfield_27_data_def_enum_2
0x00069495	did_de04_subfield_27_data_def_enum_3
0x000694c5	Alert sent immediately; DRX reset only if VBATT is not low, otherwise connection time extended
0x00069525	did_de04_subfield_27_data_def_enum_4
0x00069555	Alert sent immediately; DRX reset only if VBATT is not low; Conenction time not extended
0x000695af	did_de04_subfield_27_data_def_enum_5
0x000695df	Alert sent immediately; DRX continues; Connection time extended
0x00069620	did_de04_subfield_27_data_def_enum_6
0x00069650	Alert sent immediately; DRX continues; Connection time extended only if VBATT is not low
0x000696aa	did_de04_subfield_27_data_def_enum_7
0x000696da	Alert sent immediately; DRX continues; Connection time not extended
0x0006971f	did_de04_subfield_27_data_def_enum_8
0x00069757	did_de04_subfield_27_data_def
0x00069783	did_DE04_subfield_27
0x00069799	DASDisabledAlert_inDRXStatus
0x000697e4	did_de04_subfield_28_data_def_enum_1
0x00069818	did_de04_subfield_28_data_def_enum_2
0x00069850	did_de04_subfield_28_data_def
0x0006987c	did_DE04_subfield_28
0x00069892	DASDisabledAlert_inRoamingStatus
0x000698e1	did_de04_subfield_29_data_def_enum_1
0x00069915	did_de04_subfield_29_data_def_enum_2
0x0006994d	did_de04_subfield_29_data_def
0x00069979	did_DE04_subfield_29
0x0006998f	DASDisabledAlert_PriorityID
0x000699d9	did_de04_subfield_30_data_def_enum_1
0x00069a0d	did_de04_subfield_30_data_def_enum_2
0x00069a45	did_de04_subfield_30_data_def
0x00069a71	did_DE04_subfield_30
0x00069a87	DASDisabledAlert_status
0x00069acf	did_de04_subfield_31_data_def_enum_1
0x00069b05	did_de04_subfield_31_data_def_enum_2
0x00069b3b	did_de04_subfield_31_data_def_enum_3
0x00069b71	did_de04_subfield_31_data_def_enum_4
0x00069ba9	did_de04_subfield_31_data_def
0x00069bd5	did_DE04_subfield_31
0x00069beb	DASWarningAlert_qosLevel
0x00069c34	did_de04_subfield_32_data_def_enum_1
0x00069c64	Alert is held, send is delayed until next DRX Wakeup, IGN ON, or other alarm
0x00069cb2	did_de04_subfield_32_data_def_enum_2
0x00069ce8	did_de04_subfield_32_data_def_enum_3
0x00069d18	Alert sent immediately; DRX reset only if VBATT is not low, otherwise connection time extended
0x00069d78	did_de04_subfield_32_data_def_enum_4
0x00069da8	Alert sent immediately; DRX reset only if VBATT is not low; Conenction time not extended
0x00069e02	did_de04_subfield_32_data_def_enum_5
0x00069e32	Alert sent immediately; DRX continues; Connection time extended
0x00069e73	did_de04_subfield_32_data_def_enum_6
0x00069ea3	Alert sent immediately; DRX continues; Connection time extended only if VBATT is not low
0x00069efd	did_de04_subfield_32_data_def_enum_7
0x00069f2d	Alert sent immediately; DRX continues; Connection time not extended
0x00069f72	did_de04_subfield_32_data_def_enum_8
0x00069faa	did_de04_subfield_32_data_def
0x00069fd6	did_DE04_subfield_32
0x00069fec	DASWarningAlert_inDRXStatus
0x0006a036	did_de04_subfield_33_data_def_enum_1
0x0006a06a	did_de04_subfield_33_data_def_enum_2
0x0006a0a2	did_de04_subfield_33_data_def
0x0006a0ce	did_DE04_subfield_33
0x0006a0e4	DASWarningAlert_inRoamingStatus
0x0006a132	did_de04_subfield_34_data_def_enum_1
0x0006a166	did_de04_subfield_34_data_def_enum_2
0x0006a19e	did_de04_subfield_34_data_def
0x0006a1ca	did_DE04_subfield_34
0x0006a1e0	DASWarningAlert_PriorityID
0x0006a229	did_de04_subfield_35_data_def_enum_1
0x0006a25d	did_de04_subfield_35_data_def_enum_2
0x0006a295	did_de04_subfield_35_data_def
0x0006a2c1	did_DE04_subfield_35
0x0006a2d7	DASWarningAlert_status
0x0006a31e	did_de04_subfield_36_data_def_enum_1
0x0006a354	did_de04_subfield_36_data_def_enum_2
0x0006a38a	did_de04_subfield_36_data_def_enum_3
0x0006a3c0	did_de04_subfield_36_data_def_enum_4
0x0006a3f8	did_de04_subfield_36_data_def
0x0006a424	did_DE04_subfield_36
0x0006a43a	ForwardCollisionWarningAlert_qosLevel
0x0006a490	did_de04_subfield_37_data_def_enum_1
0x0006a4c0	Alert is held, send is delayed until next DRX Wakeup, IGN ON, or other alarm
0x0006a50e	did_de04_subfield_37_data_def_enum_2
0x0006a544	did_de04_subfield_37_data_def_enum_3
0x0006a574	Alert sent immediately; DRX reset only if VBATT is not low, otherwise connection time extended
0x0006a5d4	did_de04_subfield_37_data_def_enum_4
0x0006a604	Alert sent immediately; DRX reset only if VBATT is not low; Conenction time not extended
0x0006a65e	did_de04_subfield_37_data_def_enum_5
0x0006a68e	Alert sent immediately; DRX continues; Connection time extended
0x0006a6cf	did_de04_subfield_37_data_def_enum_6
0x0006a6ff	Alert sent immediately; DRX continues; Connection time extended only if VBATT is not low
0x0006a759	did_de04_subfield_37_data_def_enum_7
0x0006a789	Alert sent immediately; DRX continues; Connection time not extended
0x0006a7ce	did_de04_subfield_37_data_def_enum_8
0x0006a806	did_de04_subfield_37_data_def
0x0006a832	did_DE04_subfield_37
0x0006a848	ForwardCollisionWarningAlert_inDRXStatus
0x0006a89f	did_de04_subfield_38_data_def_enum_1
0x0006a8d3	did_de04_subfield_38_data_def_enum_2
0x0006a90b	did_de04_subfield_38_data_def
0x0006a937	did_DE04_subfield_38
0x0006a94d	ForwardCollisionWarningAlert_inRoamingStatus
0x0006a9a8	did_de04_subfield_39_data_def_enum_1
0x0006a9dc	did_de04_subfield_39_data_def_enum_2
0x0006aa14	did_de04_subfield_39_data_def
0x0006aa40	did_DE04_subfield_39
0x0006aa56	ForwardCollisionWarningAlert_PriorityID
0x0006aaac	did_de04_subfield_40_data_def_enum_1
0x0006aae0	did_de04_subfield_40_data_def_enum_2
0x0006ab18	did_de04_subfield_40_data_def
0x0006ab44	did_DE04_subfield_40
0x0006ab5a	ForwardCollisionWarningAlert_status
0x0006abae	did_de04_subfield_41_data_def_enum_1
0x0006abe4	did_de04_subfield_41_data_def_enum_2
0x0006ac1a	did_de04_subfield_41_data_def_enum_3
0x0006ac50	did_de04_subfield_41_data_def_enum_4
0x0006ac88	did_de04_subfield_41_data_def
0x0006acb4	did_DE04_subfield_41
0x0006acca	ForwardCollisionWarningDriverDisabledAlert_qosLevel
0x0006ad2e	did_de04_subfield_42_data_def_enum_1
0x0006ad5e	Alert is held, send is delayed until next DRX Wakeup, IGN ON, or other alarm
0x0006adac	did_de04_subfield_42_data_def_enum_2
0x0006ade2	did_de04_subfield_42_data_def_enum_3
0x0006ae12	Alert sent immediately; DRX reset only if VBATT is not low, otherwise connection time extended
0x0006ae72	did_de04_subfield_42_data_def_enum_4
0x0006aea2	Alert sent immediately; DRX reset only if VBATT is not low; Conenction time not extended
0x0006aefc	did_de04_subfield_42_data_def_enum_5
0x0006af2c	Alert sent immediately; DRX continues; Connection time extended
0x0006af6d	did_de04_subfield_42_data_def_enum_6
0x0006af9d	Alert sent immediately; DRX continues; Connection time extended only if VBATT is not low
0x0006aff7	did_de04_subfield_42_data_def_enum_7
0x0006b027	Alert sent immediately; DRX continues; Connection time not extended
0x0006b06c	did_de04_subfield_42_data_def_enum_8
0x0006b0a4	did_de04_subfield_42_data_def
0x0006b0d0	did_DE04_subfield_42
0x0006b0e6	ForwardCollisionWarningDriverDisabledAlert_inDRXStatus
0x0006b14b	did_de04_subfield_43_data_def_enum_1
0x0006b17f	did_de04_subfield_43_data_def_enum_2
0x0006b1b7	did_de04_subfield_43_data_def
0x0006b1e3	did_DE04_subfield_43
0x0006b1f9	ForwardCollisionWarningDriverDisabledAlert_inRoamingStatus
0x0006b262	did_de04_subfield_44_data_def_enum_1
0x0006b296	did_de04_subfield_44_data_def_enum_2
0x0006b2ce	did_de04_subfield_44_data_def
0x0006b2fa	did_DE04_subfield_44
0x0006b310	ForwardCollisionWarningDriverDisabledAlert_PriorityID
0x0006b374	did_de04_subfield_45_data_def_enum_1
0x0006b3a8	did_de04_subfield_45_data_def_enum_2
0x0006b3e0	did_de04_subfield_45_data_def
0x0006b40c	did_DE04_subfield_45
0x0006b422	ForwardCollisionWarningDriverDisabledAlert_status
0x0006b484	did_de04_subfield_46_data_def_enum_1
0x0006b4ba	did_de04_subfield_46_data_def_enum_2
0x0006b4f0	did_de04_subfield_46_data_def_enum_3
0x0006b526	did_de04_subfield_46_data_def_enum_4
0x0006b55e	did_de04_subfield_46_data_def
0x0006b58a	did_DE04_subfield_46
0x0006b5a0	HandsOffWheelAlert_qosLevel
0x0006b5ec	did_de04_subfield_47_data_def_enum_1
0x0006b61c	Alert is held, send is delayed until next DRX Wakeup, IGN ON, or other alarm
0x0006b66a	did_de04_subfield_47_data_def_enum_2
0x0006b6a0	did_de04_subfield_47_data_def_enum_3
0x0006b6d0	Alert sent immediately; DRX reset only if VBATT is not low, otherwise connection time extended
0x0006b730	did_de04_subfield_47_data_def_enum_4
0x0006b760	Alert sent immediately; DRX reset only if VBATT is not low; Conenction time not extended
0x0006b7ba	did_de04_subfield_47_data_def_enum_5
0x0006b7ea	Alert sent immediately; DRX continues; Connection time extended
0x0006b82b	did_de04_subfield_47_data_def_enum_6
0x0006b85b	Alert sent immediately; DRX continues; Connection time extended only if VBATT is not low
0x0006b8b5	did_de04_subfield_47_data_def_enum_7
0x0006b8e5	Alert sent immediately; DRX continues; Connection time not extended
0x0006b92a	did_de04_subfield_47_data_def_enum_8
0x0006b962	did_de04_subfield_47_data_def
0x0006b98e	did_DE04_subfield_47
0x0006b9a4	HandsOffWheelAlert_inDRXStatus
0x0006b9f1	did_de04_subfield_48_data_def_enum_1
0x0006ba25	did_de04_subfield_48_data_def_enum_2
0x0006ba5d	did_de04_subfield_48_data_def
0x0006ba89	did_DE04_subfield_48
0x0006ba9f	HandsOffWheelAlert_inRoamingStatus
0x0006baf0	did_de04_subfield_49_data_def_enum_1
0x0006bb24	did_de04_subfield_49_data_def_enum_2
0x0006bb5c	did_de04_subfield_49_data_def
0x0006bb88	did_DE04_subfield_49
0x0006bb9e	HandsOffWheelAlert_PriorityID
0x0006bbea	did_de04_subfield_50_data_def_enum_1
0x0006bc1e	did_de04_subfield_50_data_def_enum_2
0x0006bc56	did_de04_subfield_50_data_def
0x0006bc82	did_DE04_subfield_50
0x0006bc98	HandsOffWheelAlert_status
0x0006bce2	did_de04_subfield_51_data_def_enum_1
0x0006bd18	did_de04_subfield_51_data_def_enum_2
0x0006bd4e	did_de04_subfield_51_data_def_enum_3
0x0006bd84	did_de04_subfield_51_data_def_enum_4
0x0006bdbc	did_de04_subfield_51_data_def
0x0006bde8	did_DE04_subfield_51
0x0006bdfe	LaneKeepingAidOrDepartureWarningDisabledAlert_qosLevel
0x0006be65	did_de04_subfield_52_data_def_enum_1
0x0006be95	Alert is held, send is delayed until next DRX Wakeup, IGN ON, or other alarm
0x0006bee3	did_de04_subfield_52_data_def_enum_2
0x0006bf19	did_de04_subfield_52_data_def_enum_3
0x0006bf49	Alert sent immediately; DRX reset only if VBATT is not low, otherwise connection time extended
0x0006bfa9	did_de04_subfield_52_data_def_enum_4
0x0006bfd9	Alert sent immediately; DRX reset only if VBATT is not low; Conenction time not extended
0x0006c033	did_de04_subfield_52_data_def_enum_5
0x0006c063	Alert sent immediately; DRX continues; Connection time extended
0x0006c0a4	did_de04_subfield_52_data_def_enum_6
0x0006c0d4	Alert sent immediately; DRX continues; Connection time extended only if VBATT is not low
0x0006c12e	did_de04_subfield_52_data_def_enum_7
0x0006c15e	Alert sent immediately; DRX continues; Connection time not extended
0x0006c1a3	did_de04_subfield_52_data_def_enum_8
0x0006c1db	did_de04_subfield_52_data_def
0x0006c207	did_DE04_subfield_52
0x0006c21d	LaneKeepingAidOrDepartureWarningDisabledAlert_inDRXStatus
0x0006c285	did_de04_subfield_53_data_def_enum_1
0x0006c2b9	did_de04_subfield_53_data_def_enum_2
0x0006c2f1	did_de04_subfield_53_data_def
0x0006c31d	did_DE04_subfield_53
0x0006c333	LaneKeepingAidOrDepartureWarningDisabledAlert_inRoamingStatus
0x0006c39f	did_de04_subfield_54_data_def_enum_1
0x0006c3d3	did_de04_subfield_54_data_def_enum_2
0x0006c40b	did_de04_subfield_54_data_def
0x0006c437	did_DE04_subfield_54
0x0006c44d	LaneKeepingAidOrDepartureWarningDisabledAlert_PriorityID
0x0006c4b4	did_de04_subfield_55_data_def_enum_1
0x0006c4e8	did_de04_subfield_55_data_def_enum_2
0x0006c520	did_de04_subfield_55_data_def
0x0006c54c	did_DE04_subfield_55
0x0006c562	LaneKeepingAidOrDepartureWarningDisabledAlert_status
0x0006c5c7	did_de04_subfield_56_data_def_enum_1
0x0006c5fd	did_de04_subfield_56_data_def_enum_2
