# G2159042.mdx  size=116,768 B  records=1773
0x0000084e	All Terrain Control Module
0x000091c8	routine_0202_param_1_start_resp_1_routinestatus_resp_data_def_enum_3
0x0000921b	routine_0202_param_1_start_resp_1_routinestatus_resp_data_def
0x00009267	routine_0202_param_1_start_resp_1_subfield_2
0x00009295	RoutineStatus
0x000092fd	routine_0202_stop_resp__routinetype_resp_data_def_enum_1
0x00009344	routine_0202_stop_resp__routinetype_resp_data_def
0x00009384	routine_routine_0202_stop_resp_0_stop_resp_1_subfield_1
0x000093bd	RoutineType
0x000093f3	routine_0202_stop_resp__routinestatus_resp_data_def_enum_1
0x0000943d	routine_0202_stop_resp__routinestatus_resp_data_def_enum_2
0x00009487	routine_0202_stop_resp__routinestatus_resp_data_def_enum_3
0x000094d0	routine_0202_stop_resp__routinestatus_resp_data_def
0x00009512	routine_routine_0202_stop_resp_0_stop_resp_1_subfield_2
0x0000954b	RoutineStatus
0x00009575	routine_0202
0x00009583	On-Demand Self-Test
0x000095fa	routine_routine_0301_start_req_1_subfield_1_bit_0_req_data_def
0x00009647	routine_routine_0301_start_req_1_subfield_1
0x00009674	Memory Address
0x0000968d	Request Additional Data
0x000096e2	Type 1
0x000096ea	routine_0301_param_1_start_resp_1_routinetype_resp_data_def_enum_1
0x0000973b	routine_0301_param_1_start_resp_1_routinetype_resp_data_def
0x00009785	routine_0301_param_1_start_resp_1_subfield_1
0x000097b3	RoutineType
0x000097e9	routine_0301_param_1_start_resp_1_routinestatus_resp_data_def_enum_1
0x0000983c	routine_0301_param_1_start_resp_1_routinestatus_resp_data_def
0x00009888	routine_0301_param_1_start_resp_1_subfield_2
0x000098b6	RoutineStatus
0x000098ed	routine_0301
0x000098fb	Activate Secondary Boot-loader
0x00009989	routine_0304_param_1_start_resp_1_routinetype_resp_data_def_enum_1
0x000099da	routine_0304_param_1_start_resp_1_routinetype_resp_data_def
0x00009a24	routine_0304_param_1_start_resp_1_subfield_1
0x00009a52	RoutineType
0x00009a88	routine_0304_param_1_start_resp_1_routinestatus_resp_data_def_enum_1
0x00009adb	routine_0304_param_1_start_resp_1_routinestatus_resp_data_def
0x00009b27	routine_0304_param_1_start_resp_1_subfield_2
0x00009b55	RoutineStatus
0x00009b9f	Valid Application Software is NOT Present
0x00009bca	routine_0304_param_2_start_resp_1_application_status_resp_data_def_enum_1
0x00009c1f	Valid Application Software is Present
0x00009c46	routine_0304_param_2_start_resp_1_application_status_resp_data_def_enum_2
0x00009c9e	routine_0304_param_2_start_resp_1_application_status_resp_data_def
0x00009cef	routine_0304_param_2_start_resp_1_subfield_1
0x00009d1d	Application Status
0x00009d59	routine_0304
0x00009d67	Check Valid Application
0x00009de6	routine_routine_dc05_start_req_1_subfield_1_bit_0_req_data_def
0x00009e33	routine_routine_DC05_start_req_1_subfield_1
0x00009e60	Kostia Key
0x00009eb9	routine_dc05_param_1_start_resp_1_routinetype_resp_data_def_enum_1
0x00009f0a	routine_dc05_param_1_start_resp_1_routinetype_resp_data_def
0x00009f54	routine_DC05_param_1_start_resp_1_subfield_1
0x00009f82	RoutineType
0x00009fb8	routine_dc05_param_1_start_resp_1_routinestatus_resp_data_def_enum_1
0x0000a00b	routine_dc05_param_1_start_resp_1_routinestatus_resp_data_def
0x0000a057	routine_DC05_param_1_start_resp_1_subfield_2
0x0000a085	RoutineStatus
0x0000a0bc	routine_DC05
0x0000a0ca	Unlock Kostia
0x0000a13f	routine_routine_dc06_start_req_1_subfield_1_bit_0_req_data_def
0x0000a18c	routine_routine_DC06_start_req_1_subfield_1
0x0000a1b9	Kostia Key
0x0000a212	routine_dc06_param_1_start_resp_1_routinetype_resp_data_def_enum_1
0x0000a263	routine_dc06_param_1_start_resp_1_routinetype_resp_data_def
0x0000a2ad	routine_DC06_param_1_start_resp_1_subfield_1
0x0000a2db	RoutineType
0x0000a311	routine_dc06_param_1_start_resp_1_routinestatus_resp_data_def_enum_1
0x0000a364	routine_dc06_param_1_start_resp_1_routinestatus_resp_data_def
0x0000a3b0	routine_DC06_param_1_start_resp_1_subfield_2
0x0000a3de	RoutineStatus
0x0000a415	routine_DC06
0x0000a423	Kostal Error Detail Kostia
0x0000a4a3	routine_routine_ff00_start_req_1_subfield_1_bit_0_req_data_def
0x0000a4f0	routine_routine_FF00_start_req_1_subfield_1
0x0000a51d	Memory Address
0x0000a54b	routine_routine_ff00_start_req_1_subfield_2_bit_1_req_data_def
0x0000a598	routine_routine_FF00_start_req_1_subfield_2
0x0000a5c5	Memory Size
0x0000a61f	routine_ff00_param_1_start_resp_1_routinetype_resp_data_def_enum_1
0x0000a670	routine_ff00_param_1_start_resp_1_routinetype_resp_data_def
0x0000a6ba	routine_FF00_param_1_start_resp_1_subfield_1
0x0000a6e8	RoutineType
0x0000a71e	routine_ff00_param_1_start_resp_1_routinestatus_resp_data_def_enum_1
0x0000a771	routine_ff00_param_1_start_resp_1_routinestatus_resp_data_def
0x0000a7bd	routine_FF00_param_1_start_resp_1_subfield_2
0x0000a7eb	RoutineStatus
0x0000a822	routine_FF00
0x0000a830	Flash Erase
0x0000a8a1	routine_routine_ff01_start_req_1_subfield_1_bit_0_req_data_def
0x0000a8ee	routine_routine_FF01_start_req_1_subfield_1
0x0000a91b	Memory Address
0x0000a949	routine_routine_ff01_start_req_1_subfield_2_bit_1_req_data_def
0x0000a996	routine_routine_FF01_start_req_1_subfield_2
0x0000a9c3	Memory Size
0x0000aa1d	routine_ff01_param_1_start_resp_1_routinetype_resp_data_def_enum_1
0x0000aa6e	routine_ff01_param_1_start_resp_1_routinetype_resp_data_def
0x0000aab8	routine_FF01_param_1_start_resp_1_subfield_1
0x0000aae6	RoutineType
0x0000ab1c	routine_ff01_param_1_start_resp_1_routinestatus_resp_data_def_enum_1
0x0000ab6f	routine_ff01_param_1_start_resp_1_routinestatus_resp_data_def
0x0000abbb	routine_FF01_param_1_start_resp_1_subfield_2
0x0000abe9	RoutineStatus
0x0000ac2c	routine_ff01_param_2_start_resp_1_checksum_resp_data_def
0x0000ac73	routine_FF01_param_2_start_resp_1_subfield_1
0x0000aca1	Checksum
0x0000acd3	routine_FF01
0x0000ace1	Check Programming Dependencies
0x0000ad58	service_27_sf_01
0x0000ad6a	requestSeed
0x0000ad96	service_27_sf_02
0x0000ada8	sendKey
0x0000adb6	security_01
0x0000adc3	Send Key (Security Level 0x01)
0x0000ade6	Ford_Production_Encryption_Prg_2012
0x0000ae0b	fb_01
0x0000ae41	service_27_sf_03
0x0000ae76	service_27_sf_04
0x0000ae90	Used for I/O control
0x0000aea6	security_03
0x0000aeb3	Send Key (Security Level 0x03)
0x0000aed6	Ford_Production_Encryption_App_2012
0x0000aefb	fb_03
0x0000b0f4	session_01
0x0000b100	defaultSession
0x0000b20b	session_03
0x0000b217	extendedDiagnosticSession
0x0000b237	service_10_p4_max_00
0x0000b3aa	session_02
0x0000b3b6	programmingSession
0x0000b3cf	service_10_p4_max_01
0x0000b416	nrc_12
0x0000b41e	subFunctionNotSupported
0x0000b44e	nrc_13
0x0000b456	incorrectMessageLengthOrInvalidFormat
0x0000b494	nrc_7E
0x0000b49c	subFunctionNotSupportedInActiveSession
0x0000b4dd	service_10
0x0000b4e9	DiagnosticSessionControl
0x0000b525	service_10_sf_01
0x0000b556	service_10_sf_02
0x0000b583	service_10_sf_03
0x0000b7ce	session_01
0x0000b7da	defaultSession
0x0000b8e5	session_03
0x0000b8f1	extendedDiagnosticSession
0x0000b911	service_11_p4_max_00
0x0000ba84	session_02
0x0000ba90	programmingSession
0x0000baa9	service_11_p4_max_01
0x0000baf0	nrc_12
0x0000baf8	subFunctionNotSupported
0x0000bb28	nrc_13
0x0000bb30	incorrectMessageLengthOrInvalidFormat
0x0000bb70	service_11
0x0000bb7c	ECUReset
0x0000bba7	service_11_sf_01
0x0000bbb9	hardReset
0x0000bdee	session_01
0x0000bdfa	defaultSession
0x0000bf05	session_03
0x0000bf11	extendedDiagnosticSession
0x0000bf31	service_14_p4_max_00
0x0000bf8b	nrc_11
0x0000bf93	serviceNotSupported
0x0000bfbf	nrc_13
0x0000bfc7	incorrectMessageLengthOrInvalidFormat
0x0000c005	nrc_31
0x0000c00d	requestOutOfRange
0x0000c037	nrc_78
0x0000c03f	requestCorrectlyReceived-ResponsePending
0x0000c082	service_14
0x0000c08e	ClearDiagnosticInformation
0x0000c2d3	session_01
0x0000c2df	defaultSession
0x0000c3ea	session_03
0x0000c3f6	extendedDiagnosticSession
0x0000c416	service_19_p4_max_00
0x0000c459	nrc_11
0x0000c461	serviceNotSupported
0x0000c48d	nrc_12
0x0000c495	subFunctionNotSupported
0x0000c4c5	nrc_13
0x0000c4cd	incorrectMessageLengthOrInvalidFormat
0x0000c50b	nrc_31
0x0000c513	requestOutOfRange
0x0000c53f	service_19
0x0000c54b	ReadDTCInformation
0x0000c57c	service_19_sf_01
0x0000c58e	reportNumberOfDTCByStatusMask
0x0000c5c4	service_19_sf_02
0x0000c5d6	reportDTCByStatusMask
0x0000c604	service_19_sf_06
0x0000c616	reportDTCExtDataRecordByDTCNumber
0x0000c650	service_19_sf_0a
0x0000c662	reportSupportedDTC
0x0000c8a8	session_01
0x0000c8b4	defaultSession
0x0000c9bf	session_03
0x0000c9cb	extendedDiagnosticSession
0x0000c9eb	service_22_p4_max_00
0x0000cb5e	session_02
0x0000cb6a	programmingSession
0x0000cb83	service_22_p4_max_01
0x0000cbe6	nrc_13
0x0000cbee	incorrectMessageLengthOrInvalidFormat
0x0000cc2c	nrc_22
0x0000cc34	conditionsNotCorrect
0x0000cc61	nrc_31
0x0000cc69	requestOutOfRange
0x0000cc93	nrc_33
0x0000cc9b	securityAccessDenied
0x0000ccca	service_22
0x0000ccd6	ReadDataByIdentifier
0x0000ce47	session_03
0x0000ce53	extendedDiagnosticSession
0x0000ce73	service_27_p4_max_00
0x0000cfe6	session_02
0x0000cff2	programmingSession
0x0000d00b	service_27_p4_max_01
0x0000d04e	nrc_12
0x0000d056	subFunctionNotSupported
0x0000d086	nrc_13
0x0000d08e	incorrectMessageLengthOrInvalidFormat
0x0000d0cc	nrc_24
0x0000d0d4	requestSequenceError
0x0000d101	nrc_35
0x0000d109	invalidKey
0x0000d12c	nrc_7E
0x0000d134	subFunctionNotSupportedInActiveSession
0x0000d173	nrc_7F
0x0000d17b	serviceNotSupportedInActiveSession
0x0000d1b8	service_27
0x0000d1c4	SecurityAccess
0x0000d1ef	service_27_sf_01
0x0000d201	requestSeed
0x0000d223	service_27_sf_02
0x0000d235	sendKey
0x0000d251	service_27_sf_03
0x0000d27a	service_27_sf_04
0x0000d3f8	session_03
0x0000d404	extendedDiagnosticSession
0x0000d424	service_31_p4_max_00
0x0000d59b	session_02
0x0000d5a7	programmingSession
0x0000d5c0	service_31_p4_max_01
0x0000d603	nrc_12
0x0000d60b	subFunctionNotSupported
0x0000d63b	nrc_13
0x0000d643	incorrectMessageLengthOrInvalidFormat
0x0000d681	nrc_21
0x0000d689	busyRepeatRequest
0x0000d6b3	nrc_24
0x0000d6bb	requestSequenceError
0x0000d6e8	nrc_31
0x0000d6f0	requestOutOfRange
0x0000d71a	nrc_78
0x0000d722	requestCorrectlyReceived-ResponsePending
0x0000d763	nrc_7E
0x0000d76b	subFunctionNotSupportedInActiveSession
0x0000d7ac	service_31
0x0000d7b8	RoutineControl
0x0000d7e5	service_31_sf_01
0x0000d7f7	startRoutine
0x0000d818	service_31_sf_02
0x0000d82a	stopRoutine
0x0000d84a	service_31_sf_03
0x0000d85c	requestRoutineResults
0x0000da34	session_02
0x0000da40	programmingSession
0x0000da59	service_34_p4_max_00
0x0000da96	No Compression Method and No Encryption Method
0x0000daf3	nrc_13
0x0000dafb	incorrectMessageLengthOrInvalidFormat
0x0000db39	nrc_31
0x0000db41	requestOutOfRange
0x0000db6b	nrc_33
0x0000db73	securityAccessDenied
0x0000dba0	nrc_78
0x0000dba8	requestCorrectlyReceived-ResponsePending
0x0000dbe9	nrc_7F
0x0000dbf1	serviceNotSupportedInActiveSession
0x0000dc2e	service_34
0x0000dc3a	RequestDownload
0x0000ddfc	session_02
0x0000de08	programmingSession
0x0000de21	service_36_p4_max_00
0x0000de60	nrc_13
0x0000de68	incorrectMessageLengthOrInvalidFormat
0x0000dea6	nrc_24
0x0000deae	requestSequenceError
0x0000dedb	nrc_71
0x0000dee3	transferDataSuspended
0x0000df11	nrc_73
0x0000df19	wrongBlockSequenceCounter
0x0000df4b	nrc_78
0x0000df53	requestCorrectlyReceived-ResponsePending
0x0000df94	nrc_7F
0x0000df9c	serviceNotSupportedInActiveSession
0x0000dfd9	service_36
0x0000dfe5	TransferData
0x0000e1a1	session_02
0x0000e1ad	programmingSession
0x0000e1c6	service_37_p4_max_00
0x0000e205	nrc_13
0x0000e20d	incorrectMessageLengthOrInvalidFormat
0x0000e24b	nrc_24
0x0000e253	requestSequenceError
0x0000e280	nrc_78
0x0000e288	requestCorrectlyReceived-ResponsePending
0x0000e2c9	nrc_7F
0x0000e2d1	serviceNotSupportedInActiveSession
0x0000e30e	service_37
0x0000e31a	RequestTransferExit
0x0000e551	session_01
0x0000e55d	defaultSession
0x0000e668	session_03
0x0000e674	extendedDiagnosticSession
0x0000e694	service_3E_p4_max_00
0x0000e807	session_02
0x0000e813	programmingSession
0x0000e82c	service_3E_p4_max_01
0x0000e873	nrc_12
0x0000e87b	subFunctionNotSupported
0x0000e8ab	nrc_13
0x0000e8b3	incorrectMessageLengthOrInvalidFormat
0x0000e8f3	service_3E
0x0000e8ff	TesterPresent
0x0000e92f	service_3E_sf_00
0x0000e941	zeroSubFunction
0x0000eab9	session_03
0x0000eac5	extendedDiagnosticSession
0x0000eae5	service_85_p4_max_00
0x0000eb24	nrc_11
0x0000eb2c	serviceNotSupported
0x0000eb58	nrc_12
0x0000eb60	subFunctionNotSupported
0x0000eb90	nrc_13
0x0000eb98	incorrectMessageLengthOrInvalidFormat
0x0000ebd6	nrc_78
0x0000ebde	requestCorrectlyReceived-ResponsePending
0x0000ec1f	nrc_7F
0x0000ec27	serviceNotSupportedInActiveSession
0x0000ec64	service_85
0x0000ec70	ControlDTCSetting
0x0000ec9c	service_85_sf_01
0x0000ecae	on
0x0000ecc5	service_85_sf_02
0x0000ecd7	off
0x0000eeaf	session_02
0x0000eebb	programmingSession
0x0000eed6	service_27_sf_01
0x0000eee8	requestSeed
0x0000ef12	service_27_sf_02
0x0000ef24	sendKey
0x0000ef32	security_01
0x0000ef3f	Send Key (Security Level 0x01)
0x0000ef62	Ford_Production_Encryption_Prg_2012
0x0000ef87	fb_01
0x0000f0c2	session_03
0x0000f0ce	extendedDiagnosticSession
0x0000f0f0	service_27_sf_03
0x0000f102	requestSeed
0x0000f12c	service_27_sf_04
0x0000f13e	sendKey
0x0000f14b	Used for I/O control
0x0000f161	security_03
0x0000f16e	Send Key (Security Level 0x03)
0x0000f191	Ford_Production_Encryption_App_2012
0x0000f1b6	fb_03
0x0000f1f7	mem_00
0x0000f1ff	Strategy
0x0000f259	mem_01
0x0000f261	Secondary Bootloader
0x0000f480	session_01
0x0000f48c	defaultSession
0x0000f597	session_03
0x0000f5a3	extendedDiagnosticSession
0x0000f720	session_02
0x0000f72c	programmingSession
0x0000f78b	nrc_10
0x0000f793	generalReject
0x0000f7af	nrc_11
0x0000f7b7	serviceNotSupported
0x0000f7d9	nrc_12
0x0000f7e1	subFunctionNotSupported
0x0000f807	nrc_13
0x0000f80f	incorrectMessageLengthOrInvalidFormat
0x0000f843	nrc_14
0x0000f84b	responseTooLong
0x0000f869	nrc_21
0x0000f871	busyRepeatRequest
0x0000f891	nrc_22
0x0000f899	conditionsNotCorrect
0x0000f8bc	nrc_24
0x0000f8c4	requestSequenceError
0x0000f8e7	nrc_25
0x0000f8ef	noResponseFromSubnetComponent
0x0000f91b	nrc_26
0x0000f923	failurePreventsExecutionOfRequestedAction
0x0000f95b	nrc_31
0x0000f963	requestOutOfRange
0x0000f983	nrc_33
0x0000f98b	securityAccessDenied
0x0000f9ae	nrc_35
0x0000f9b6	invalidKey
0x0000f9cf	nrc_36
0x0000f9d7	exceedNumberOfAttempts
0x0000f9fc	nrc_37
0x0000fa04	requiredTimeDelayNotExpired
0x0000fa2e	nrc_70
0x0000fa36	uploadDownloadNotAccepted
0x0000fa5e	nrc_71
0x0000fa66	transferDataSuspended
0x0000fa8a	nrc_72
0x0000fa92	generalProgrammingFailure
0x0000faba	nrc_73
0x0000fac2	wrongBlockSequenceCounter
0x0000faea	nrc_78
0x0000faf2	requestCorrectlyReceived-ResponsePending
0x0000fb29	nrc_7E
0x0000fb31	subFunctionNotSupportedInActiveSession
0x0000fb66	nrc_7F
0x0000fb6e	serviceNotSupportedInActiveSession
0x0000fb9f	nrc_81
0x0000fba7	rpmTooHigh
0x0000fbc0	nrc_82
0x0000fbc8	rpmTooLow
0x0000fbe0	nrc_83
0x0000fbe8	engineIsRunning
0x0000fc06	nrc_84
0x0000fc0e	engineIsNotRunning
0x0000fc2f	nrc_85
0x0000fc37	engineRunTimeTooLow
0x0000fc59	nrc_86
0x0000fc61	temperatureTooHigh
0x0000fc82	nrc_87
0x0000fc8a	temperatureTooLow
0x0000fcaa	nrc_88
0x0000fcb2	vehicleSpeedTooHigh
0x0000fcd4	nrc_89
0x0000fcdc	vehicleSpeedTooLow
0x0000fcfd	nrc_8A
0x0000fd05	throttle/PedalTooHigh
0x0000fd29	nrc_8B
0x0000fd31	throttle/PedalTooLow
0x0000fd54	nrc_8C
0x0000fd5c	transmissionRangeNotInNeutral
0x0000fd88	nrc_8D
0x0000fd90	transmissionRangeNotInGear
0x0000fdb9	nrc_8F
0x0000fdc1	brakeSwitch(es)NotClosed
0x0000fde8	nrc_90
0x0000fdf0	shifterLeverNotInPark
0x0000fe14	nrc_91
0x0000fe1c	torqueConverterClutchLocked
0x0000fe46	nrc_92
0x0000fe4e	voltageTooHigh
0x0000fe6b	nrc_93
0x0000fe73	voltageTooLow
0x0000feb6	service_27_sf_01
0x0000fec8	requestSeed
0x0000fef4	service_27_sf_02
0x0000ff06	sendKey
0x0000ff14	security_01
0x0000ff21	Send Key (Security Level 0x01)
0x0000ff67	service_27_sf_03
0x0000ff9c	service_27_sf_04
0x0000ffb6	Used for I/O control
0x0000ffcc	security_03
0x0000ffd9	Send Key (Security Level 0x03)
0x0001002d	service_10_p4_max_00
0x00010055	service_10_p4_max_01
0x000100ca	service_10
0x000100d6	DiagnosticSessionControl
0x00010112	service_10_sf_01
0x00010143	service_10_sf_02
0x00010170	service_10_sf_03
0x000101bc	service_11_p4_max_00
0x000101e4	service_11_p4_max_01
0x0001024b	service_11
0x00010257	ECUReset
0x00010282	service_11_sf_01
0x00010294	hardReset
0x000102da	service_14_p4_max_00
0x00010370	service_14
0x0001037c	ClearDiagnosticInformation
0x000103c0	service_19_p4_max_00
0x0001043f	service_19
0x0001044b	ReadDTCInformation
0x0001047c	service_19_sf_01
0x0001048e	reportNumberOfDTCByStatusMask
0x000104c4	service_19_sf_02
0x000104d6	reportDTCByStatusMask
0x00010504	service_19_sf_06
0x00010516	reportDTCExtDataRecordByDTCNumber
0x00010550	service_19_sf_0a
0x00010562	reportSupportedDTC
0x000105af	service_22_p4_max_00
0x000105d7	service_22_p4_max_01
0x00010676	service_22
0x00010682	ReadDataByIdentifier
0x000106be	service_27_p4_max_00
0x000106e6	service_27_p4_max_01
0x00010783	service_27
0x0001078f	SecurityAccess
0x000107ee	service_31_p4_max_00
0x0001081a	service_31_p4_max_01
0x000108c5	service_31
0x000108d1	RoutineControl
0x00010900	service_31_sf_01
0x00010912	startRoutine
0x00010935	service_31_sf_02
0x00010947	stopRoutine
0x00010969	service_31_sf_03
0x0001097b	requestRoutineResults
0x000109cb	service_34_p4_max_00
0x00010a08	No Compression Method and No Encryption Method
0x00010ab1	service_34
0x00010abd	RequestDownload
0x00010af6	service_36_p4_max_00
0x00010b8f	service_36
0x00010b9b	TransferData
0x00010bd1	service_37_p4_max_00
0x00010c4e	service_37
0x00010c5a	RequestTransferExit
0x00010c97	service_3E_p4_max_00
0x00010cbf	service_3E_p4_max_01
0x00010d26	service_3E
0x00010d32	TesterPresent
0x00010d62	service_3E_sf_00
0x00010d74	zeroSubFunction
0x00010dbe	service_85_p4_max_00
0x00010e49	service_85
0x00010e55	ControlDTCSetting
0x00010e83	service_85_sf_01
0x00010e95	on
0x00010eae	service_85_sf_02
0x00010ec0	off
0x0001102a	pll_1
0x000111de	pll_1
0x00011430	session_01
0x0001143c	defaultSession
0x00011547	session_03
0x00011553	extendedDiagnosticSession
0x00011573	service_22_p4_max_00
0x000116e6	session_02
0x000116f2	programmingSession
0x0001170b	service_22_p4_max_01
0x0001176e	nrc_13
0x00011776	incorrectMessageLengthOrInvalidFormat
0x000117b4	nrc_22
0x000117bc	conditionsNotCorrect
0x000117e9	nrc_31
0x000117f1	requestOutOfRange
0x0001181b	nrc_33
0x00011823	securityAccessDenied
0x00011852	service_22
0x0001185e	ReadDataByIdentifier
0x00011942	did_0202_subfield_1_data_def
0x0001196d	did_0202_subfield_1
0x00011982	Number of Trouble Codes Set due to Diagnostic Test
0x000119be	did_0202
0x000119c8	Number of Trouble Codes Set due to Diagnostic Test
0x00011c64	session_01
0x00011c70	defaultSession
0x00011d7b	session_03
0x00011d87	extendedDiagnosticSession
0x00011da7	service_22_p4_max_00
0x00011f1a	session_02
0x00011f26	programmingSession
0x00011f3f	service_22_p4_max_01
0x00011fa2	nrc_13
0x00011faa	incorrectMessageLengthOrInvalidFormat
0x00011fe8	nrc_22
0x00011ff0	conditionsNotCorrect
0x0001201d	nrc_31
0x00012025	requestOutOfRange
0x0001204f	nrc_33
0x00012057	securityAccessDenied
0x00012086	service_22
0x00012092	ReadDataByIdentifier
0x00012129	Two Wheel Drive
0x0001213a	did_1e7b_subfield_1_data_def_enum_1
0x00012169	Automatic Four Wheel Drive
0x00012185	did_1e7b_subfield_1_data_def_enum_2
0x000121b4	Four Wheel Drive - High
0x000121cd	did_1e7b_subfield_1_data_def_enum_3
0x000121fc	Neutral
0x00012205	did_1e7b_subfield_1_data_def_enum_4
0x00012234	Four Wheel Drive - Low
0x0001224c	did_1e7b_subfield_1_data_def_enum_5
0x0001227d	NoRequest
0x00012288	did_1e7b_subfield_1_data_def_enum_6
0x000122b9	Faulty
0x000122c1	did_1e7b_subfield_1_data_def_enum_7
0x000122f3	did_1e7b_subfield_1_data_def
0x0001231e	did_1E7B_subfield_1
0x00012333	Four Wheel Drive Mode
0x00012352	did_1E7B
0x0001235c	Four Wheel Drive Mode
0x000125be	session_01
0x000125ca	defaultSession
0x000126d5	session_03
0x000126e1	extendedDiagnosticSession
0x00012701	service_22_p4_max_00
0x00012874	session_02
0x00012880	programmingSession
0x00012899	service_22_p4_max_01
0x000128fc	nrc_13
0x00012904	incorrectMessageLengthOrInvalidFormat
0x00012942	nrc_22
0x0001294a	conditionsNotCorrect
0x00012977	nrc_31
0x0001297f	requestOutOfRange
0x000129a9	nrc_33
0x000129b1	securityAccessDenied
0x000129e0	service_22
0x000129ec	ReadDataByIdentifier
0x00012a83	Not Pressed
0x00012a90	did_205c_subfield_1_data_def_enum_1
0x00012abf	Pressed
0x00012ac8	did_205c_subfield_1_data_def_enum_2
0x00012afa	did_205c_subfield_1_data_def
0x00012b25	did_205C_subfield_1
0x00012b3a	Push Button 1 Input State
0x00012b7e	did_205c_subfield_2_data_def_enum_1
0x00012bb1	did_205c_subfield_2_data_def_enum_2
0x00012be3	did_205c_subfield_2_data_def
0x00012c0e	did_205C_subfield_2
0x00012c23	Push Button 2 Input State
0x00012c67	did_205c_subfield_3_data_def_enum_1
0x00012c9a	did_205c_subfield_3_data_def_enum_2
0x00012ccc	did_205c_subfield_3_data_def
0x00012cf7	did_205C_subfield_3
0x00012d0c	Push Button 3 Input State
0x00012d50	did_205c_subfield_4_data_def_enum_1
0x00012d83	did_205c_subfield_4_data_def_enum_2
0x00012db5	did_205c_subfield_4_data_def
0x00012de0	did_205C_subfield_4
0x00012df5	Push Button 4 Input State
0x00012e35	Off
0x00012e3a	did_205c_subfield_5_data_def_enum_1
0x00012e69	On
0x00012e6d	did_205c_subfield_5_data_def_enum_2
0x00012e9f	did_205c_subfield_5_data_def
0x00012eca	did_205C_subfield_5
0x00012edf	Push Button 1 Indicator State
0x00012f27	did_205c_subfield_6_data_def_enum_1
0x00012f5a	did_205c_subfield_6_data_def_enum_2
0x00012f8c	did_205c_subfield_6_data_def
0x00012fb7	did_205C_subfield_6
0x00012fcc	Push Button 2 Indicator State
0x00013014	did_205c_subfield_7_data_def_enum_1
0x00013047	did_205c_subfield_7_data_def_enum_2
0x00013079	did_205c_subfield_7_data_def
0x000130a4	did_205C_subfield_7
0x000130b9	Push Button 3 Indicator State
0x00013101	did_205c_subfield_8_data_def_enum_1
0x00013134	did_205c_subfield_8_data_def_enum_2
0x00013166	did_205c_subfield_8_data_def
0x00013191	did_205C_subfield_8
0x000131a6	Push Button 4 Indicator State
0x000131ea	Low
0x000131ef	did_205c_subfield_9_data_def_enum_1
0x0001321e	High
0x00013224	did_205c_subfield_9_data_def_enum_2
0x00013256	did_205c_subfield_9_data_def
0x00013281	did_205C_subfield_9
0x00013296	Rotary Encoder Input 1 Level
0x000132dd	did_205c_subfield_10_data_def_enum_1
0x00013311	did_205c_subfield_10_data_def_enum_2
0x00013344	did_205c_subfield_10_data_def
0x00013370	did_205C_subfield_10
0x00013386	Rotary Encoder Input 2 Level
0x000133c9	False
0x000133d0	did_205c_subfield_11_data_def_enum_1
0x00013400	True
0x00013406	did_205c_subfield_11_data_def_enum_2
0x00013439	did_205c_subfield_11_data_def
0x00013465	did_205C_subfield_11
0x0001347b	Last Rotary Encoder Direction is Clockwise/Right
0x000134d6	did_205c_subfield_12_data_def_enum_1
0x0001350a	did_205c_subfield_12_data_def_enum_2
0x0001353d	did_205c_subfield_12_data_def
0x00013569	did_205C_subfield_12
0x0001357f	Last Rotary Encoder Direction is Counter-Clockwise/Left
0x000135e1	did_205c_subfield_13_data_def_enum_1
0x00013615	did_205c_subfield_13_data_def_enum_2
0x00013648	did_205c_subfield_13_data_def
0x00013674	did_205C_subfield_13
0x0001368a	Rotary Encoder Input is Currently Unreliable
0x000136c0	did_205C
0x000136ca	Drive Mode Switch States
0x00013934	session_01
0x00013940	defaultSession
0x00013a4b	session_03
0x00013a57	extendedDiagnosticSession
0x00013a77	service_22_p4_max_00
0x00013bea	session_02
0x00013bf6	programmingSession
0x00013c0f	service_22_p4_max_01
0x00013c72	nrc_13
0x00013c7a	incorrectMessageLengthOrInvalidFormat
0x00013cb8	nrc_22
0x00013cc0	conditionsNotCorrect
0x00013ced	nrc_31
0x00013cf5	requestOutOfRange
0x00013d1f	nrc_33
0x00013d27	securityAccessDenied
0x00013d56	service_22
0x00013d62	ReadDataByIdentifier
0x00013dfd	Validation Structure Verification Passed
0x00013e27	did_d028_subfield_1_data_def_enum_1
0x00013e56	Validation Structure Not Authentic
0x00013e7a	did_d028_subfield_1_data_def_enum_2
0x00013ea9	Validation Structure Invalid Format
0x00013ece	did_d028_subfield_1_data_def_enum_3
0x00013efd	Validation Structure Block Number Mismatch
0x00013f29	did_d028_subfield_1_data_def_enum_4
0x00013f58	Validation Structure Hash Value Mismatch
0x00013f82	did_d028_subfield_1_data_def_enum_5
0x00013fb1	Validation Structure Memory Read Error
0x00013fd9	did_d028_subfield_1_data_def_enum_6
0x00014008	Validation Structure Block Mismatch
0x0001402d	did_d028_subfield_1_data_def_enum_7
0x0001405e	Validation Application Routine Not Executed This Session
0x00014098	did_d028_subfield_1_data_def_enum_8
0x000140ca	did_d028_subfield_1_data_def
0x000140f5	did_D028_subfield_1
0x0001410a	Application Signature Validation Status
0x0001413b	did_D028
