# G2201450.mdx  size=5,409,214 B  records=87301
0x0000084e	Body Control Module
0x0001ace7	did_411c_subfield_1_data_def_enum_2
0x0001ad1a	did_411c_subfield_1_data_def_enum_3
0x0001ad4c	did_411c_subfield_1_data_def
0x0001ad77	did_411C_subfield_1
0x0001ad8c	Steering Column Lock power control
0x0001adb8	did_411C
0x0001adc2	Steering Column Lock power control
0x0001ae42	Key In
0x0001ae4a	did_417d_subfield_1_data_def_enum_1
0x0001ae79	Key Out
0x0001ae82	did_417d_subfield_1_data_def_enum_2
0x0001aeb5	did_417d_subfield_1_data_def_enum_3
0x0001aee7	did_417d_subfield_1_data_def
0x0001af12	did_417D_subfield_1
0x0001af27	Inferred Key In Ignition Status
0x0001af50	did_417D
0x0001af5a	Inferred Key In Ignition Status
0x0001b010	Test Mode Not Activated
0x0001b029	did_41a8_subfield_1_data_def_enum_1
0x0001b058	Test Mode Activated
0x0001b06d	did_41a8_subfield_1_data_def_enum_2
0x0001b09f	did_41a8_subfield_1_data_def
0x0001b0ca	did_41A8_subfield_1
0x0001b0df	Regenerative Charging Test Mode Status
0x0001b10f	did_41A8
0x0001b119	Regenerative Charging Test Mode Status
0x0001b1a3	did_41a9_subfield_1_data_def_enum_1
0x0001b1d8	did_41a9_subfield_1_data_def_enum_2
0x0001b20a	did_41a9_subfield_1_data_def
0x0001b235	did_41A9_subfield_1
0x0001b24a	Battery Current Too High For Start/Stop
0x0001b29e	did_41a9_subfield_2_data_def_enum_1
0x0001b2d3	did_41a9_subfield_2_data_def_enum_2
0x0001b305	did_41a9_subfield_2_data_def
0x0001b330	did_41A9_subfield_2
0x0001b345	Battery Voltage Too Low For Start/Stop
0x0001b398	did_41a9_subfield_3_data_def_enum_1
0x0001b3cd	did_41a9_subfield_3_data_def_enum_2
0x0001b3ff	did_41a9_subfield_3_data_def
0x0001b42a	did_41A9_subfield_3
0x0001b43f	Battery State of Charge (SoC) Too Low For Start/Stop
0x0001b4a0	did_41a9_subfield_4_data_def_enum_1
0x0001b4d5	did_41a9_subfield_4_data_def_enum_2
0x0001b507	did_41a9_subfield_4_data_def
0x0001b532	did_41A9_subfield_4
0x0001b547	Battery Capacity Too Low For Start/Stop
0x0001b59b	did_41a9_subfield_5_data_def_enum_1
0x0001b5d0	did_41a9_subfield_5_data_def_enum_2
0x0001b602	did_41a9_subfield_5_data_def
0x0001b62d	did_41A9_subfield_5
0x0001b642	Battery Voltage Too Low For Cold Cranking Capability (CCC)
0x0001b6a9	did_41a9_subfield_6_data_def_enum_1
0x0001b6de	did_41a9_subfield_6_data_def_enum_2
0x0001b710	did_41a9_subfield_6_data_def
0x0001b73b	did_41A9_subfield_6
0x0001b750	Predicted Autostop Endurance Before Insufficient Battery Voltage For Warm Crank Is Too Short (WCC)
0x0001b7df	did_41a9_subfield_7_data_def_enum_1
0x0001b814	did_41a9_subfield_7_data_def_enum_2
0x0001b846	did_41a9_subfield_7_data_def
0x0001b871	did_41A9_subfield_7
0x0001b886	Battery Voltage Too Low For Auto Restart
0x0001b8db	did_41a9_subfield_8_data_def_enum_1
0x0001b910	did_41a9_subfield_8_data_def_enum_2
0x0001b942	did_41a9_subfield_8_data_def
0x0001b96d	did_41A9_subfield_8
0x0001b982	Battery Temperature Too Low For Auto Stop
0x0001b9d8	did_41a9_subfield_9_data_def_enum_1
0x0001ba0d	did_41a9_subfield_9_data_def_enum_2
0x0001ba3f	did_41a9_subfield_9_data_def
0x0001ba6a	did_41A9_subfield_9
0x0001ba7f	Battery Refresh Cycle In Progress For Start/Stop
0x0001bab9	did_41A9
0x0001bac3	Stop - Start Feature Inhibit Reasons
0x0001bb4b	did_41b9_subfield_1_data_def_enum_1
0x0001bb80	did_41b9_subfield_1_data_def_enum_2
0x0001bbb2	did_41b9_subfield_1_data_def
0x0001bbdd	did_41B9_subfield_1
0x0001bbf2	Engine Start - Normal Start - Driveable
0x0001bc46	did_41b9_subfield_2_data_def_enum_1
0x0001bc7b	did_41b9_subfield_2_data_def_enum_2
0x0001bcad	did_41b9_subfield_2_data_def
0x0001bcd8	did_41B9_subfield_2
0x0001bced	Engine Start - Remote Start - Not Driveable
0x0001bd45	did_41b9_subfield_3_data_def_enum_1
0x0001bd7a	did_41b9_subfield_3_data_def_enum_2
0x0001bdac	did_41b9_subfield_3_data_def
0x0001bdd7	did_41B9_subfield_3
0x0001bdec	Engine Start - Disabled - Engine Not Started
0x0001be45	did_41b9_subfield_4_data_def_enum_1
0x0001be7a	did_41b9_subfield_4_data_def_enum_2
0x0001beac	did_41b9_subfield_4_data_def
0x0001bed7	did_41B9_subfield_4
0x0001beec	Remote Start Timeout - Normal Run
0x0001bf3a	did_41b9_subfield_5_data_def_enum_1
0x0001bf6f	did_41b9_subfield_5_data_def_enum_2
0x0001bfa1	did_41b9_subfield_5_data_def
0x0001bfcc	did_41B9_subfield_5
0x0001bfe1	Remote Start Timeout - Extended Run
0x0001c031	did_41b9_subfield_6_data_def_enum_1
0x0001c066	did_41b9_subfield_6_data_def_enum_2
0x0001c098	did_41b9_subfield_6_data_def
0x0001c0c3	did_41B9_subfield_6
0x0001c0d8	Remote Start Request - Received From OEM Key
0x0001c131	did_41b9_subfield_7_data_def_enum_1
0x0001c166	did_41b9_subfield_7_data_def_enum_2
0x0001c198	did_41b9_subfield_7_data_def
0x0001c1c3	did_41B9_subfield_7
0x0001c1d8	Remote Start Request - Received From Aftermarket Key
0x0001c239	did_41b9_subfield_8_data_def_enum_1
0x0001c26e	did_41b9_subfield_8_data_def_enum_2
0x0001c2a0	did_41b9_subfield_8_data_def
0x0001c2cb	did_41B9_subfield_8
0x0001c2e0	Remote Start Request - No Request Received
0x0001c337	did_41b9_subfield_9_data_def_enum_1
0x0001c36c	did_41b9_subfield_9_data_def_enum_2
0x0001c39e	did_41b9_subfield_9_data_def
0x0001c3c9	did_41B9_subfield_9
0x0001c3de	Engine Start - Secure Idle - Not Driveable
0x0001c412	did_41B9
0x0001c41c	Remote Start Status
0x0001c493	did_41c8_subfield_1_data_def_enum_1
0x0001c4c8	did_41c8_subfield_1_data_def_enum_2
0x0001c4fa	did_41c8_subfield_1_data_def
0x0001c525	did_41C8_subfield_1
0x0001c53a	Left Front Door- Unlock Requested
0x0001c588	did_41c8_subfield_2_data_def_enum_1
0x0001c5bd	did_41c8_subfield_2_data_def_enum_2
0x0001c5ef	did_41c8_subfield_2_data_def
0x0001c61a	did_41C8_subfield_2
0x0001c62f	Left Front Door- Lock Requested
0x0001c67b	did_41c8_subfield_3_data_def_enum_1
0x0001c6b0	did_41c8_subfield_3_data_def_enum_2
0x0001c6e2	did_41c8_subfield_3_data_def
0x0001c70d	did_41C8_subfield_3
0x0001c722	Right Front Door- Unlock Requested
0x0001c771	did_41c8_subfield_4_data_def_enum_1
0x0001c7a6	did_41c8_subfield_4_data_def_enum_2
0x0001c7d8	did_41c8_subfield_4_data_def
0x0001c803	did_41C8_subfield_4
0x0001c818	Right Front Door- Lock Requested
0x0001c842	did_41C8
0x0001c84c	Touch Sensor Request Status
0x0001c8cb	did_41d2_subfield_1_data_def_enum_1
0x0001c900	did_41d2_subfield_1_data_def_enum_2
0x0001c92f	Stuck
0x0001c936	did_41d2_subfield_1_data_def_enum_3
0x0001c968	did_41d2_subfield_1_data_def
0x0001c993	did_41D2_subfield_1
0x0001c9a8	Vehicle Horn Switch Input Status
0x0001c9d2	did_41D2
0x0001c9dc	Vehicle Horn Switch Input Status
0x0001ca9b	did_41d3_subfield_1_data_def_enum_1
0x0001cad0	did_41d3_subfield_1_data_def_enum_2
0x0001caff	Honk
0x0001cb05	did_41d3_subfield_1_data_def_enum_3
0x0001cb3a	did_41d3_subfield_1_data_def_enum_4
0x0001cb69	Manual On
0x0001cb74	did_41d3_subfield_1_data_def_enum_5
0x0001cba3	Manual Off
0x0001cbaf	did_41d3_subfield_1_data_def_enum_6
0x0001cbde	Chirp
0x0001cbe5	did_41d3_subfield_1_data_def_enum_7
0x0001cc14	Chirp Honk
0x0001cc20	did_41d3_subfield_1_data_def_enum_8
0x0001cc4f	Disable
0x0001cc58	did_41d3_subfield_1_data_def_enum_9
0x0001cc87	Test Horn
0x0001cc92	did_41d3_subfield_1_data_def_enum_10
0x0001ccc2	High Current Short
0x0001ccd6	did_41d3_subfield_1_data_def_enum_11
0x0001cd06	Over Voltage
0x0001cd14	did_41d3_subfield_1_data_def_enum_12
0x0001cd44	Pass Through
0x0001cd52	did_41d3_subfield_1_data_def_enum_13
0x0001cd85	did_41d3_subfield_1_data_def
0x0001cdb0	did_41D3_subfield_1
0x0001cdc5	Horn Relay Output
0x0001cde0	did_41D3
0x0001cdea	Horn Relay Output
0x0001ce9a	did_41d4_subfield_1_data_def_enum_1
0x0001cecf	did_41d4_subfield_1_data_def_enum_2
0x0001cf04	did_41d4_subfield_1_data_def_enum_3
0x0001cf37	did_41d4_subfield_1_data_def_enum_4
0x0001cf69	did_41d4_subfield_1_data_def
0x0001cf94	did_41D4_subfield_1
0x0001cfa9	Power Point Output Relay
0x0001cfcb	did_41D4
0x0001cfd5	Power Point Output Relay
0x0001d051	did_41d5_subfield_1_data_def_enum_1
0x0001d086	did_41d5_subfield_1_data_def_enum_2
0x0001d0b8	did_41d5_subfield_1_data_def
0x0001d0e3	did_41D5_subfield_1
0x0001d0f8	Power Point Relay Reset Circuit Status
0x0001d128	did_41D5
0x0001d132	Power Point Relay Reset Circuit Status
0x0001d1bc	did_41d6_subfield_1_data_def_enum_1
0x0001d1f1	did_41d6_subfield_1_data_def_enum_2
0x0001d223	did_41d6_subfield_1_data_def
0x0001d24e	did_41D6_subfield_1
0x0001d263	Power Point Relay Set Circuit Status
0x0001d291	did_41D6
0x0001d29b	Power Point Relay Set Circuit Status
0x0001d358	did_41d8_subfield_1_data_def
0x0001d383	did_41D8_subfield_1
0x0001d398	Maximum Duration Park Brake Engaged While Vehicle Was In Motion
0x0001d3e1	did_41D8
0x0001d3eb	Maximum Duration Park Brake Engaged While Vehicle Was In Motion
0x0001d488	Null - Not Powered/Open Circuit
0x0001d4a9	did_41d9_subfield_1_data_def_enum_1
0x0001d4de	did_41d9_subfield_1_data_def_enum_2
0x0001d50d	Auto
0x0001d513	did_41d9_subfield_1_data_def_enum_3
0x0001d548	did_41d9_subfield_1_data_def_enum_4
0x0001d57a	did_41d9_subfield_1_data_def
0x0001d5a5	did_41D9_subfield_1
0x0001d5ba	Dome Switch Input Status
0x0001d5dc	did_41D9
0x0001d5e6	Dome Switch Input Status
0x0001d69d	did_41da_subfield_1_data_def_enum_1
0x0001d6d2	did_41da_subfield_1_data_def_enum_2
0x0001d707	did_41da_subfield_1_data_def_enum_3
0x0001d739	did_41da_subfield_1_data_def
0x0001d764	did_41DA_subfield_1
0x0001d779	Ambient Light LED Power Supply Status
0x0001d7a8	did_41DA
0x0001d7b2	Ambient Light LED Power Supply Status
0x0001d835	Idle
0x0001d83b	did_41db_subfield_1_data_def_enum_1
0x0001d86a	Up
0x0001d86e	did_41db_subfield_1_data_def_enum_2
0x0001d89d	Down
0x0001d8a3	did_41db_subfield_1_data_def_enum_3
0x0001d8d2	Error
0x0001d8d9	did_41db_subfield_1_data_def_enum_4
0x0001d90b	did_41db_subfield_1_data_def
0x0001d936	did_41DB_subfield_1
0x0001d94b	Ambient Dim Command Status
0x0001d96f	did_41DB
0x0001d979	Ambient Dim Command Status
0x0001d9f7	did_41dc_subfield_1_data_def_enum_1
0x0001da2c	did_41dc_subfield_1_data_def_enum_2
0x0001da61	did_41dc_subfield_1_data_def_enum_3
0x0001da96	did_41dc_subfield_1_data_def_enum_4
0x0001dac8	did_41dc_subfield_1_data_def
0x0001daf3	did_41DC_subfield_1
0x0001db08	Ambient Color Command Status
0x0001db2e	did_41DC
0x0001db38	Ambient Color Command Status
0x0001dbb2	Null - Switch Is Not Pressed
0x0001dbd0	did_41dd_subfield_1_data_def_enum_1
0x0001dbff	Open - Switch Is Pressed
0x0001dc19	did_41dd_subfield_1_data_def_enum_2
0x0001dc4b	did_41dd_subfield_1_data_def
0x0001dc76	did_41DD_subfield_1
0x0001dc8b	Interior Decklid Switch Status
0x0001dcb3	did_41DD
0x0001dcbd	Interior Decklid Switch Status
0x0001dd3f	did_41e1_subfield_1_data_def_enum_1
0x0001dd74	did_41e1_subfield_1_data_def_enum_2
0x0001dda6	did_41e1_subfield_1_data_def
0x0001ddd1	did_41E1_subfield_1
0x0001dde6	Left Front Turn Lamp Outage Feedback Status
0x0001de1b	did_41E1
0x0001de25	Left Front Turn Lamp Outage Feedback Status
0x0001deef	did_41e2_subfield_1_data_def_enum_1
0x0001df1e	Lock All Doors Including Driver Door
0x0001df44	did_41e2_subfield_1_data_def_enum_2
0x0001df73	Unlock All Doors Including Driver Door
0x0001df9b	did_41e2_subfield_1_data_def_enum_3
0x0001dfca	Unlock Driver Door
0x0001dfde	did_41e2_subfield_1_data_def_enum_4
0x0001e00d	Double Lock Doors
0x0001e020	did_41e2_subfield_1_data_def_enum_5
0x0001e04f	Disengage Double Lock
0x0001e066	did_41e2_subfield_1_data_def_enum_6
0x0001e095	Auxiliary Lock
0x0001e0a5	did_41e2_subfield_1_data_def_enum_7
0x0001e0d4	Auxiliary Unlock
0x0001e0e6	did_41e2_subfield_1_data_def_enum_8
0x0001e115	Lock Rear Childlock System
0x0001e131	did_41e2_subfield_1_data_def_enum_9
0x0001e160	Unlock Rear Childlock System
0x0001e17e	did_41e2_subfield_1_data_def_enum_10
0x0001e1ae	Unlock Side Or Rear Cargo Doors
0x0001e1cf	did_41e2_subfield_1_data_def_enum_11
0x0001e1ff	Unlock Side And Rear Cargo Doors
0x0001e221	did_41e2_subfield_1_data_def_enum_12
0x0001e254	did_41e2_subfield_1_data_def
0x0001e27f	did_41E2_subfield_1
0x0001e294	Driver And All Doors Lock Output
0x0001e2be	did_41E2
0x0001e2c8	Driver And All Doors Lock Output
0x0001e34c	did_41e3_subfield_1_data_def_enum_1
0x0001e381	did_41e3_subfield_1_data_def_enum_2
0x0001e3b3	did_41e3_subfield_1_data_def
0x0001e3de	did_41E3_subfield_1
0x0001e3f3	Right Front Turn Lamp Outage Feedback Status
0x0001e429	did_41E3
0x0001e433	Right Front Turn Lamp Outage Feedback Status
0x0001e4fe	did_41e4_subfield_1_data_def_enum_1
0x0001e533	did_41e4_subfield_1_data_def_enum_2
0x0001e568	did_41e4_subfield_1_data_def_enum_3
0x0001e59a	did_41e4_subfield_1_data_def
0x0001e5c5	did_41E4_subfield_1
0x0001e5da	Key Inhibit Circuit
0x0001e5f7	did_41E4
0x0001e601	Key Inhibit Circuit
0x0001e6a1	did_41e8_subfield_1_data_def
0x0001e6cc	did_41E8_subfield_1
0x0001e6e1	Vehicle Battery B Voltage
0x0001e704	did_41E8
0x0001e70e	Vehicle Battery B Voltage
0x0001e7b4	did_41e9_subfield_1_data_def
0x0001e7df	did_41E9_subfield_1
0x0001e7f4	Vehicle Battery C Voltage
0x0001e817	did_41E9
0x0001e821	Vehicle Battery C Voltage
0x0001e8c7	did_41ea_subfield_1_data_def
0x0001e8f2	did_41EA_subfield_1
0x0001e907	Vehicle Battery D Voltage
0x0001e92a	did_41EA
0x0001e934	Vehicle Battery D Voltage
0x0001e9ec	did_41eb_subfield_1_data_def_enum_1
0x0001ea21	did_41eb_subfield_1_data_def_enum_2
0x0001ea56	did_41eb_subfield_1_data_def_enum_3
0x0001ea8b	did_41eb_subfield_1_data_def_enum_4
0x0001eac0	did_41eb_subfield_1_data_def_enum_5
0x0001eaf2	did_41eb_subfield_1_data_def
0x0001eb1d	did_41EB_subfield_1
0x0001eb32	Left Front Daytime Running Light Output
0x0001eb63	did_41EB
0x0001eb6d	Left Front Daytime Running Light Output
0x0001ec33	did_41ec_subfield_1_data_def_enum_1
0x0001ec68	did_41ec_subfield_1_data_def_enum_2
0x0001ec9d	did_41ec_subfield_1_data_def_enum_3
0x0001ecd2	did_41ec_subfield_1_data_def_enum_4
0x0001ed07	did_41ec_subfield_1_data_def_enum_5
0x0001ed39	did_41ec_subfield_1_data_def
0x0001ed64	did_41EC_subfield_1
0x0001ed79	Left Front Fog Lamps Output
0x0001ed9e	did_41EC
0x0001eda8	Left Front Fog Lamps Output
0x0001ee62	did_41ed_subfield_1_data_def_enum_1
0x0001ee97	did_41ed_subfield_1_data_def_enum_2
0x0001eecc	did_41ed_subfield_1_data_def_enum_3
0x0001eefb	Position Lamp On
0x0001ef0d	did_41ed_subfield_1_data_def_enum_4
0x0001ef3c	Stop Lamp On
0x0001ef4a	did_41ed_subfield_1_data_def_enum_5
0x0001ef79	Flash On
0x0001ef83	did_41ed_subfield_1_data_def_enum_6
0x0001efb5	did_41ed_subfield_1_data_def
0x0001efe0	did_41ED_subfield_1
0x0001eff5	Left Front Position Lamp Output
0x0001f01e	did_41ED
0x0001f028	Left Front Position Lamp Output
0x0001f0e6	did_41ee_subfield_1_data_def_enum_1
0x0001f11b	did_41ee_subfield_1_data_def_enum_2
0x0001f150	did_41ee_subfield_1_data_def_enum_3
0x0001f185	did_41ee_subfield_1_data_def_enum_4
0x0001f1ba	did_41ee_subfield_1_data_def_enum_5
0x0001f1ef	did_41ee_subfield_1_data_def_enum_6
0x0001f221	did_41ee_subfield_1_data_def
0x0001f24c	did_41EE_subfield_1
0x0001f261	Left Rear Stop/Position Lamp Output
0x0001f28e	did_41EE
0x0001f298	Left Rear Stop/Position Lamp Output
0x0001f35a	did_41ef_subfield_1_data_def_enum_1
0x0001f38f	did_41ef_subfield_1_data_def_enum_2
0x0001f3c4	did_41ef_subfield_1_data_def_enum_3
0x0001f3f6	did_41ef_subfield_1_data_def
0x0001f421	did_41EF_subfield_1
0x0001f436	Rear Park Lamps Output
0x0001f456	did_41EF
0x0001f460	Rear Park Lamps Output
0x0001f515	did_41f0_subfield_1_data_def_enum_1
0x0001f54a	did_41f0_subfield_1_data_def_enum_2
0x0001f57f	did_41f0_subfield_1_data_def_enum_3
0x0001f5b1	did_41f0_subfield_1_data_def
0x0001f5dc	did_41F0_subfield_1
0x0001f5f1	Front Park Lamps Output
0x0001f612	did_41F0
0x0001f61c	Front Park Lamps Output
0x0001f6d2	did_41f1_subfield_1_data_def_enum_1
0x0001f707	did_41f1_subfield_1_data_def_enum_2
0x0001f73c	did_41f1_subfield_1_data_def_enum_3
0x0001f76e	did_41f1_subfield_1_data_def
0x0001f799	did_41F1_subfield_1
0x0001f7ae	Rear Fog Lamps Output
0x0001f7cd	did_41F1
0x0001f7d7	Rear Fog Lamps Output
0x0001f88b	did_41f2_subfield_1_data_def_enum_1
0x0001f8c0	did_41f2_subfield_1_data_def_enum_2
0x0001f8f5	did_41f2_subfield_1_data_def_enum_3
0x0001f92a	did_41f2_subfield_1_data_def_enum_4
0x0001f95f	did_41f2_subfield_1_data_def_enum_5
0x0001f991	did_41f2_subfield_1_data_def
0x0001f9bc	did_41F2_subfield_1
0x0001f9d1	Right Front Daytime Running Light Output
0x0001fa03	did_41F2
0x0001fa0d	Right Front Daytime Running Light Output
0x0001fad4	did_41f3_subfield_1_data_def_enum_1
0x0001fb09	did_41f3_subfield_1_data_def_enum_2
0x0001fb3e	did_41f3_subfield_1_data_def_enum_3
0x0001fb73	did_41f3_subfield_1_data_def_enum_4
0x0001fba8	did_41f3_subfield_1_data_def_enum_5
0x0001fbda	did_41f3_subfield_1_data_def
0x0001fc05	did_41F3_subfield_1
0x0001fc1a	Right Front Fog Lamps Output
0x0001fc40	did_41F3
0x0001fc4a	Right Front Fog Lamps Output
0x0001fd05	did_41f4_subfield_1_data_def_enum_1
0x0001fd3a	did_41f4_subfield_1_data_def_enum_2
0x0001fd6f	did_41f4_subfield_1_data_def_enum_3
0x0001fda4	did_41f4_subfield_1_data_def_enum_4
0x0001fdd9	did_41f4_subfield_1_data_def_enum_5
0x0001fe0e	did_41f4_subfield_1_data_def_enum_6
0x0001fe40	did_41f4_subfield_1_data_def
0x0001fe6b	did_41F4_subfield_1
0x0001fe80	Right Front Position Lamp Output
0x0001feaa	did_41F4
0x0001feb4	Right Front Position Lamp Output
0x0001ff73	did_41f5_subfield_1_data_def_enum_1
0x0001ffa8	did_41f5_subfield_1_data_def_enum_2
0x0001ffdd	did_41f5_subfield_1_data_def_enum_3
0x00020012	did_41f5_subfield_1_data_def_enum_4
0x00020047	did_41f5_subfield_1_data_def_enum_5
0x0002007c	did_41f5_subfield_1_data_def_enum_6
0x000200ae	did_41f5_subfield_1_data_def
0x000200d9	did_41F5_subfield_1
0x000200ee	Right Rear Stop/Position Lamp Output
0x0002011c	did_41F5
0x00020126	Right Rear Stop/Position Lamp Output
0x000201e9	did_41f6_subfield_1_data_def_enum_1
0x0002021e	did_41f6_subfield_1_data_def_enum_2
0x00020253	did_41f6_subfield_1_data_def_enum_3
0x00020285	did_41f6_subfield_1_data_def
0x000202b0	did_41F6_subfield_1
0x000202c5	Trailer Tow Park/Tail Lamp Output
0x000202f0	did_41F6
0x000202fa	Trailer Tow Park/Tail Lamp Output
0x000203ba	did_41f7_subfield_1_data_def_enum_1
0x000203e9	Output On
0x000203f4	did_41f7_subfield_1_data_def_enum_2
0x00020423	Ouput Off
0x0002042e	did_41f7_subfield_1_data_def_enum_3
0x0002045d	Normal - No Crash Event Detected
0x0002047f	did_41f7_subfield_1_data_def_enum_4
0x000204ae	Crash Event Detected
0x000204c4	did_41f7_subfield_1_data_def_enum_5
0x000204f6	did_41f7_subfield_1_data_def
0x00020521	did_41F7_subfield_1
0x00020536	Crash Event Detection Circuit Output Status
0x0002056b	did_41F7
0x00020575	Crash Event Detection Circuit Output Status
0x0002063f	did_41f8_subfield_1_data_def_enum_1
0x00020674	did_41f8_subfield_1_data_def_enum_2
0x000206a9	did_41f8_subfield_1_data_def_enum_3
0x000206db	did_41f8_subfield_1_data_def
0x00020706	did_41F8_subfield_1
0x0002071b	Run Start Output Control 2
0x0002073f	did_41F8
0x00020749	Run Start Output Control 2
0x000207f0	did_41f9_subfield_1_data_def
0x0002081b	did_41F9_subfield_1
0x00020830	Programmed Transmitter ID Code (TIC) Value #11
0x00020868	did_41F9
0x00020872	Programmed Transmitter ID Code (TIC) Value #11
0x0002092d	did_41fc_subfield_1_data_def
0x00020958	did_41FC_subfield_1
0x0002096d	Programmed Transmitter ID Code (TIC) Value #12
0x000209a5	did_41FC
0x000209af	Programmed Transmitter ID Code (TIC) Value #12
0x00020a41	did_41fe_subfield_1_data_def_enum_1
0x00020a76	did_41fe_subfield_1_data_def_enum_2
0x00020aa8	did_41fe_subfield_1_data_def
0x00020ad3	did_41FE_subfield_1
0x00020ae8	Transponder Resource Layer Timeout
0x00020b37	did_41fe_subfield_2_data_def_enum_1
0x00020b6c	did_41fe_subfield_2_data_def_enum_2
0x00020b9e	did_41fe_subfield_2_data_def
0x00020bc9	did_41FE_subfield_2
0x00020bde	Immobilizer ECU EEPROM Timeout
0x00020c29	did_41fe_subfield_3_data_def_enum_1
0x00020c5e	did_41fe_subfield_3_data_def_enum_2
0x00020c90	did_41fe_subfield_3_data_def
0x00020cbb	did_41FE_subfield_3
0x00020cd0	Immobilizer ECU EEPROM Error
0x00020d19	did_41fe_subfield_4_data_def_enum_1
0x00020d4e	did_41fe_subfield_4_data_def_enum_2
0x00020d80	did_41fe_subfield_4_data_def
0x00020dab	did_41FE_subfield_4
0x00020dc0	Cryptology Error
0x00020dfd	did_41fe_subfield_5_data_def_enum_1
0x00020e32	did_41fe_subfield_5_data_def_enum_2
0x00020e64	did_41fe_subfield_5_data_def
0x00020e8f	did_41FE_subfield_5
0x00020ea4	Authentication Response Not Correct
0x00020ef4	did_41fe_subfield_6_data_def_enum_1
0x00020f29	did_41fe_subfield_6_data_def_enum_2
0x00020f5b	did_41fe_subfield_6_data_def
0x00020f86	did_41FE_subfield_6
0x00020f9b	No Response Received For Authentication Request
0x00020ff7	did_41fe_subfield_7_data_def_enum_1
0x0002102c	did_41fe_subfield_7_data_def_enum_2
0x0002105e	did_41fe_subfield_7_data_def
0x00021089	did_41FE_subfield_7
0x0002109e	Key Identifier Not Registered
0x000210e8	did_41fe_subfield_8_data_def_enum_1
0x0002111d	did_41fe_subfield_8_data_def_enum_2
0x0002114f	did_41fe_subfield_8_data_def
0x0002117a	did_41FE_subfield_8
0x0002118f	Key Identifier Not Received
0x000211d7	did_41fe_subfield_9_data_def_enum_1
0x0002120c	did_41fe_subfield_9_data_def_enum_2
0x0002123e	did_41fe_subfield_9_data_def
0x00021269	did_41FE_subfield_9
0x0002127e	Protected Section Execution
0x000212c6	did_41fe_subfield_10_data_def_enum_1
0x000212fc	did_41fe_subfield_10_data_def_enum_2
0x0002132f	did_41fe_subfield_10_data_def
0x0002135b	did_41FE_subfield_10
0x00021371	Antenna Coil Active
0x000213b1	did_41fe_subfield_11_data_def_enum_1
0x000213e7	did_41fe_subfield_11_data_def_enum_2
0x0002141a	did_41fe_subfield_11_data_def
0x00021446	did_41FE_subfield_11
0x0002145c	Antenna Coil Error
0x0002149b	did_41fe_subfield_12_data_def_enum_1
0x000214d1	did_41fe_subfield_12_data_def_enum_2
0x00021504	did_41fe_subfield_12_data_def
0x00021530	did_41FE_subfield_12
0x00021546	Base Station Error
0x00021585	did_41fe_subfield_13_data_def_enum_1
0x000215bb	did_41fe_subfield_13_data_def_enum_2
0x000215ee	did_41fe_subfield_13_data_def
0x0002161a	did_41FE_subfield_13
0x00021630	Base Station Powered Up
0x00021651	did_41FE
0x0002165b	Immobilizer Key Read Results
0x000216d5	Motive - Vehicle Drivable
0x000216f0	did_4201_subfield_1_data_def_enum_1
0x0002171f	Non Motive - Vehicle Started But Not Drivable
0x0002174e	did_4201_subfield_1_data_def_enum_2
0x0002177d	Disabled - Authentification Has Not Been Unlocked And The Powertrain Is Not Allowed To Start
0x000217db	did_4201_subfield_1_data_def_enum_3
0x0002180d	did_4201_subfield_1_data_def
0x00021838	did_4201_subfield_1
0x0002184d	Control Authentication Status
0x00021895	did_4201_subfield_2_data_def_enum_1
0x000218c4	Invalid
0x000218cd	did_4201_subfield_2_data_def_enum_2
0x000218fc	Valid
0x00021903	did_4201_subfield_2_data_def_enum_3
0x00021935	did_4201_subfield_2_data_def
0x00021960	did_4201_subfield_2
0x00021975	Key Status
0x000219a6	Locked
0x000219ae	did_4201_subfield_3_data_def_enum_1
0x000219dd	Unlocked
0x000219e7	did_4201_subfield_3_data_def_enum_2
0x00021a1a	did_4201_subfield_3_data_def_enum_3
0x00021a4c	did_4201_subfield_3_data_def
0x00021a77	did_4201_subfield_3
0x00021a8c	Steering Column Lock Status
0x00021ab1	did_4201
0x00021abb	Motive Start Status
0x00021b2c	Remote Start Not Requested
0x00021b48	did_4202_subfield_1_data_def_enum_1
0x00021b77	Remote Start Requested Via Key
0x00021b97	did_4202_subfield_1_data_def_enum_2
0x00021bc9	did_4202_subfield_1_data_def
0x00021bf4	did_4202_subfield_1
0x00021c09	Non-Motive Start
0x00021c23	did_4202
0x00021c2d	Non-Motive Start
0x00021cca	did_4203_subfield_1_data_def
0x00021cf5	did_4203_subfield_1
0x00021d0a	PATS Key Read Retry Counter
0x00021d2f	did_4203
0x00021d39	PATS Key Read Retry Counter
0x00021db2	Disabled
0x00021dbc	did_4205_subfield_1_data_def_enum_1
0x00021deb	In Progress
0x00021df8	did_4205_subfield_1_data_def_enum_2
0x00021e27	Motive
0x00021e2f	did_4205_subfield_1_data_def_enum_3
0x00021e5e	Non-Motive
0x00021e6a	did_4205_subfield_1_data_def_enum_4
0x00021e9c	did_4205_subfield_1_data_def
0x00021ec7	did_4205_subfield_1
0x00021edc	PATS Target#1 Status
0x00021f17	Challenge
0x00021f22	did_4205_subfield_2_data_def_enum_1
0x00021f57	did_4205_subfield_2_data_def_enum_2
0x00021f86	Identifier Block 1
