start_hex,start_abs_hex,end_hex,length,class,confidence,repr_values,note
0x01878,0x101d1878,0x01884,12,float_axis,medium,"[0.8855, 0.99, 1]",monotonic inc
0x01884,0x101d1884,0x019d4,336,u16_table,low,"[2851, 2532, 2412, 2303, 2207, 2124, 2052, 1926, ... (168 total)]",contiguous u16 values in plausible range
0x019d4,0x101d19d4,0x019d6,2,unknown,low,00 40,no classifier heuristic matched
0x019d6,0x101d19d6,0x019ee,24,u16_table,low,"[0, 922, 1331, 1741, 2150, 2560, 2970, 3789, ... (12 total)]",contiguous u16 values in plausible range
0x019ee,0x101d19ee,0x019f0,2,unknown,low,00 40,no classifier heuristic matched
0x019f0,0x101d19f0,0x01a08,24,u16_table,low,"[0, 922, 1331, 1741, 2150, 2560, 2970, 3789, ... (12 total)]",contiguous u16 values in plausible range
0x01a08,0x101d1a08,0x01a0a,2,unknown,low,00 40,no classifier heuristic matched
0x01a0a,0x101d1a0a,0x01a22,24,u16_table,low,"[0, 922, 1331, 1741, 2150, 2560, 2970, 3789, ... (12 total)]",contiguous u16 values in plausible range
0x01a22,0x101d1a22,0x01a24,2,unknown,low,00 40,no classifier heuristic matched
0x01a24,0x101d1a24,0x01a3c,24,u16_table,low,"[0, 922, 1331, 1741, 2150, 2560, 2970, 3789, ... (12 total)]",contiguous u16 values in plausible range
0x01a3c,0x101d1a3c,0x01a3e,2,unknown,low,00 40,no classifier heuristic matched
0x01a3e,0x101d1a3e,0x01a56,24,u16_table,low,"[0, 922, 1331, 1741, 2150, 2560, 2970, 3789, ... (12 total)]",contiguous u16 values in plausible range
0x01a56,0x101d1a56,0x01a58,2,unknown,low,00 40,no classifier heuristic matched
0x01a58,0x101d1a58,0x01a70,24,u16_table,low,"[0, 922, 1331, 1741, 2150, 2560, 2970, 3789, ... (12 total)]",contiguous u16 values in plausible range
0x01a70,0x101d1a70,0x01a72,2,unknown,low,00 40,no classifier heuristic matched
0x01a72,0x101d1a72,0x01a8a,24,u16_table,low,"[0, 922, 1331, 1741, 2150, 2560, 2970, 3789, ... (12 total)]",contiguous u16 values in plausible range
0x01a8a,0x101d1a8a,0x01a8c,2,unknown,low,00 40,no classifier heuristic matched
0x01a8c,0x101d1a8c,0x01aa4,24,u16_table,low,"[0, 922, 1331, 1741, 2150, 2560, 2970, 3789, ... (12 total)]",contiguous u16 values in plausible range
0x01aa4,0x101d1aa4,0x01aa6,2,unknown,low,00 40,no classifier heuristic matched
0x01aa6,0x101d1aa6,0x01abe,24,u16_table,low,"[0, 922, 1331, 1741, 2150, 2560, 2970, 3789, ... (12 total)]",contiguous u16 values in plausible range
0x01abe,0x101d1abe,0x01ac0,2,unknown,low,00 40,no classifier heuristic matched
0x01ac0,0x101d1ac0,0x01ad8,24,u16_table,low,"[0, 922, 1331, 1741, 2150, 2560, 2970, 3789, ... (12 total)]",contiguous u16 values in plausible range
0x01ad8,0x101d1ad8,0x01ada,2,unknown,low,00 40,no classifier heuristic matched
0x01ada,0x101d1ada,0x01af2,24,u16_table,low,"[0, 922, 1331, 1741, 2150, 2560, 2970, 3789, ... (12 total)]",contiguous u16 values in plausible range
0x01af2,0x101d1af2,0x01af4,2,unknown,low,00 40,no classifier heuristic matched
0x01af4,0x101d1af4,0x01cfa,518,u16_table,low,"[0, 53, 84, 105, 126, 148, 169, 190, ... (259 total)]",contiguous u16 values in plausible range
0x01cfa,0x101d1cfa,0x01cfc,2,unknown,low,00 50,no classifier heuristic matched
0x01cfc,0x101d1cfc,0x01d22,38,u16_table,low,"[0, 53, 61, 72, 92, 121, 162, 215, ... (19 total)]",contiguous u16 values in plausible range
0x01d22,0x101d1d22,0x01d24,2,unknown,low,00 50,no classifier heuristic matched
0x01d24,0x101d1d24,0x01d4a,38,u16_table,low,"[0, 53, 68, 76, 96, 123, 160, 207, ... (19 total)]",contiguous u16 values in plausible range
0x01d4a,0x101d1d4a,0x01d4c,2,unknown,low,00 30,no classifier heuristic matched
0x01d4c,0x101d1d4c,0x01eb8,364,u16_table,low,"[0, 43, 61, 72, 92, 121, 158, 203, ... (182 total)]",contiguous u16 values in plausible range
0x01eb8,0x101d1eb8,0x01eba,2,unknown,low,00 80,no classifier heuristic matched
0x01eba,0x101d1eba,0x02140,646,u16_table,low,"[0, 0, 400, 800, 1200, 1600, 2400, 3200, ... (323 total)]",contiguous u16 values in plausible range
0x02140,0x101d2140,0x02166,38,unknown,low,3d 2a 7b 54 00 80 00 00 3d 2a 7b 54 ...,no classifier heuristic matched
0x02166,0x101d2166,0x021b8,82,u16_table,low,"[0, 524, 0, 524, 0, 524, 0, 524, ... (41 total)]",contiguous u16 values in plausible range
0x021b8,0x101d21b8,0x021be,6,unknown,low,b3 30 18 35 00 38,no classifier heuristic matched
0x021be,0x101d21be,0x021c8,10,u16_table,low,"[0, 3072, 3725, 4220, 7424]",contiguous u16 values in plausible range
0x021c8,0x101d21c8,0x021ce,6,unknown,low,52 2f 00 30 00 31,no classifier heuristic matched
0x021ce,0x101d21ce,0x021d8,10,u16_table,low,"[0, 3072, 3725, 4220, 7424]",contiguous u16 values in plausible range
0x021d8,0x101d21d8,0x021de,6,unknown,low,52 2f 00 30 00 31,no classifier heuristic matched
0x021de,0x101d21de,0x021e8,10,u16_table,low,"[0, 3072, 3725, 4220, 7424]",contiguous u16 values in plausible range
0x021e8,0x101d21e8,0x021ee,6,unknown,low,52 2f 00 30 00 31,no classifier heuristic matched
0x021ee,0x101d21ee,0x021f8,10,u16_table,low,"[0, 3072, 3725, 4220, 7424]",contiguous u16 values in plausible range
0x021f8,0x101d21f8,0x021fe,6,unknown,low,52 2f 00 30 00 31,no classifier heuristic matched
0x021fe,0x101d21fe,0x02208,10,u16_table,low,"[0, 3072, 3725, 4220, 7424]",contiguous u16 values in plausible range
0x02208,0x101d2208,0x0220e,6,unknown,low,52 2f 00 30 00 31,no classifier heuristic matched
0x0220e,0x101d220e,0x02218,10,u16_table,low,"[0, 3072, 3725, 4220, 7424]",contiguous u16 values in plausible range
0x02218,0x101d2218,0x0221e,6,unknown,low,52 2f 00 30 00 31,no classifier heuristic matched
0x0221e,0x101d221e,0x02228,10,u16_table,low,"[0, 3072, 3725, 4220, 7424]",contiguous u16 values in plausible range
0x02228,0x101d2228,0x0222e,6,unknown,low,52 2f 00 30 00 31,no classifier heuristic matched
0x0222e,0x101d222e,0x02238,10,u16_table,low,"[0, 3072, 3725, 4220, 7424]",contiguous u16 values in plausible range
0x02238,0x101d2238,0x0223e,6,unknown,low,52 2f 00 30 00 31,no classifier heuristic matched
0x0223e,0x101d223e,0x02248,10,u16_table,low,"[0, 3072, 3725, 4220, 7424]",contiguous u16 values in plausible range
0x02248,0x101d2248,0x0224e,6,unknown,low,52 2f 00 30 00 31,no classifier heuristic matched
0x0224e,0x101d224e,0x02258,10,u16_table,low,"[0, 3072, 3725, 4220, 7424]",contiguous u16 values in plausible range
0x02258,0x101d2258,0x0225e,6,unknown,low,52 2f 00 30 00 31,no classifier heuristic matched
0x0225e,0x101d225e,0x02268,10,u16_table,low,"[0, 3072, 3725, 4220, 7424]",contiguous u16 values in plausible range
0x02268,0x101d2268,0x0226e,6,unknown,low,52 2f 00 30 00 31,no classifier heuristic matched
0x0226e,0x101d226e,0x0232e,192,u16_table,low,"[4096, 4096, 4009, 3891, 2432, 345, 73, 0, ... (96 total)]",contiguous u16 values in plausible range
0x0232e,0x101d232e,0x02342,20,u16_axis,medium,"[0, 2048, 4096, 6144, 8192, 10240, 12288, 14336, ... (10 total)]","monotonic u16 axis, inc"
0x02342,0x101d2342,0x02356,20,reserved_zero,high,0x00 × 20,may be deprecated/disabled field cleared by Ford
0x02356,0x101d2356,0x02382,44,u16_table,low,"[655, 655, 655, 655, 655, 655, 655, 655, ... (22 total)]",contiguous u16 values in plausible range
0x02382,0x101d2382,0x02384,2,unknown,low,00 80,no classifier heuristic matched
0x02384,0x101d2384,0x02388,4,float_scalar,low,2.00781,standalone float32
0x02388,0x101d2388,0x023a1,25,reserved_zero,high,0x00 × 25,may be deprecated/disabled field cleared by Ford
0x023a1,0x101d23a1,0x023a4,3,unknown,low,40 00 40,no classifier heuristic matched
0x023a4,0x101d23a4,0x023b0,12,float_table,low,"[2.004, 2.004, 2.004]",contiguous plausible float32s
0x023b0,0x101d23b0,0x023b2,2,unknown,low,00 40,no classifier heuristic matched
0x023b2,0x101d23b2,0x023f0,62,u16_table,low,"[0, 48, 96, 144, 192, 288, 480, 640, ... (31 total)]",contiguous u16 values in plausible range
0x023f0,0x101d23f0,0x023f2,2,unknown,low,c0 2b,no classifier heuristic matched
0x023f2,0x101d23f2,0x02410,30,u16_table,low,"[0, 40, 80, 120, 160, 240, 320, 400, ... (15 total)]",contiguous u16 values in plausible range
0x02410,0x101d2410,0x02412,2,unknown,low,c0 2b,no classifier heuristic matched
0x02412,0x101d2412,0x02430,30,u16_table,low,"[0, 40, 80, 120, 160, 240, 320, 400, ... (15 total)]",contiguous u16 values in plausible range
0x02430,0x101d2430,0x02432,2,unknown,low,c0 2b,no classifier heuristic matched
0x02432,0x101d2432,0x02450,30,u16_table,low,"[0, 40, 80, 120, 160, 240, 320, 400, ... (15 total)]",contiguous u16 values in plausible range
0x02450,0x101d2450,0x02452,2,unknown,low,c0 2b,no classifier heuristic matched
0x02452,0x101d2452,0x02470,30,u16_table,low,"[0, 32, 64, 96, 128, 192, 256, 320, ... (15 total)]",contiguous u16 values in plausible range
0x02470,0x101d2470,0x02472,2,unknown,low,c0 2b,no classifier heuristic matched
0x02472,0x101d2472,0x02490,30,u16_table,low,"[0, 32, 64, 96, 128, 192, 256, 320, ... (15 total)]",contiguous u16 values in plausible range
0x02490,0x101d2490,0x02492,2,unknown,low,c0 2b,no classifier heuristic matched
0x02492,0x101d2492,0x024b0,30,u16_table,low,"[0, 16, 32, 48, 64, 96, 128, 160, ... (15 total)]",contiguous u16 values in plausible range
0x024b0,0x101d24b0,0x024b2,2,unknown,low,c0 2b,no classifier heuristic matched
0x024b2,0x101d24b2,0x024d2,32,u16_axis,medium,"[0, 16, 32, 48, 64, 96, 128, 160, ... (16 total)]","monotonic u16 axis, inc"
0x024d2,0x101d24d2,0x024f4,34,reserved_zero,high,0x00 × 34,may be deprecated/disabled field cleared by Ford
0x024f4,0x101d24f4,0x0259c,168,u16_table,low,"[132, 264, 402, 472, 505, 509, 509, 509, ... (84 total)]",contiguous u16 values in plausible range
0x0259c,0x101d259c,0x025a8,12,u16_axis,medium,"[107, 105, 98, 73, 47, 31]","monotonic u16 axis, dec"
0x025a8,0x101d25a8,0x025a9,1,unknown,low,0f,no classifier heuristic matched
0x025a9,0x101d25a9,0x025b4,11,reserved_zero,high,0x00 × 11,may be deprecated/disabled field cleared by Ford
0x025b4,0x101d25b4,0x025be,10,u16_table,low,"[14, 25, 32, 40, 43]",contiguous u16 values in plausible range
0x025be,0x101d25be,0x025c8,10,u16_axis,medium,"[44, 42, 33, 23, 14]","monotonic u16 axis, dec"
0x025c8,0x101d25c8,0x025c9,1,unknown,low,09,no classifier heuristic matched
0x025c9,0x101d25c9,0x025f4,43,reserved_zero,high,0x00 × 43,may be deprecated/disabled field cleared by Ford
0x025f4,0x101d25f4,0x02716,290,u16_table,low,"[77, 230, 435, 717, 1024, 1126, 2560, 0, ... (145 total)]",contiguous u16 values in plausible range
0x02716,0x101d2716,0x0275a,68,unknown,low,00 32 00 50 00 00 00 1e 00 32 00 50 ...,no classifier heuristic matched
0x0275a,0x101d275a,0x027b0,86,u16_table,low,"[256, 174, 128, 0, 256, 174, 128, 0, ... (43 total)]",contiguous u16 values in plausible range
0x027b0,0x101d27b0,0x027b4,4,unknown,low,00 28 00 32,no classifier heuristic matched
0x027b4,0x101d27b4,0x027cc,24,u16_axis,medium,"[0, 1280, 3840, 6400, 9600, 12800, 15360, 17920, ... (12 total)]","monotonic u16 axis, inc"
0x027cc,0x101d27cc,0x027d8,12,float_axis,medium,"[0.8855, 0.99, 1]",monotonic inc
0x027d8,0x101d27d8,0x02928,336,u16_table,low,"[2851, 2532, 2412, 2303, 2207, 2124, 2052, 1926, ... (168 total)]",contiguous u16 values in plausible range
0x02928,0x101d2928,0x0292a,2,unknown,low,00 40,no classifier heuristic matched
0x0292a,0x101d292a,0x02942,24,u16_table,low,"[0, 922, 1331, 1741, 2150, 2560, 2970, 3789, ... (12 total)]",contiguous u16 values in plausible range
0x02942,0x101d2942,0x02944,2,unknown,low,00 40,no classifier heuristic matched
0x02944,0x101d2944,0x0295c,24,u16_table,low,"[0, 922, 1331, 1741, 2150, 2560, 2970, 3789, ... (12 total)]",contiguous u16 values in plausible range
0x0295c,0x101d295c,0x0295e,2,unknown,low,00 40,no classifier heuristic matched
0x0295e,0x101d295e,0x02976,24,u16_table,low,"[0, 922, 1331, 1741, 2150, 2560, 2970, 3789, ... (12 total)]",contiguous u16 values in plausible range
0x02976,0x101d2976,0x02978,2,unknown,low,00 40,no classifier heuristic matched
0x02978,0x101d2978,0x02990,24,u16_table,low,"[0, 922, 1331, 1741, 2150, 2560, 2970, 3789, ... (12 total)]",contiguous u16 values in plausible range
0x02990,0x101d2990,0x02992,2,unknown,low,00 40,no classifier heuristic matched
0x02992,0x101d2992,0x029aa,24,u16_table,low,"[0, 922, 1331, 1741, 2150, 2560, 2970, 3789, ... (12 total)]",contiguous u16 values in plausible range
0x029aa,0x101d29aa,0x029ac,2,unknown,low,00 40,no classifier heuristic matched
0x029ac,0x101d29ac,0x029c4,24,u16_table,low,"[0, 922, 1331, 1741, 2150, 2560, 2970, 3789, ... (12 total)]",contiguous u16 values in plausible range
0x029c4,0x101d29c4,0x029c6,2,unknown,low,00 40,no classifier heuristic matched
0x029c6,0x101d29c6,0x029de,24,u16_table,low,"[0, 922, 1331, 1741, 2150, 2560, 2970, 3789, ... (12 total)]",contiguous u16 values in plausible range
0x029de,0x101d29de,0x029e0,2,unknown,low,00 40,no classifier heuristic matched
0x029e0,0x101d29e0,0x029f8,24,u16_table,low,"[0, 922, 1331, 1741, 2150, 2560, 2970, 3789, ... (12 total)]",contiguous u16 values in plausible range
0x029f8,0x101d29f8,0x029fa,2,unknown,low,00 40,no classifier heuristic matched
0x029fa,0x101d29fa,0x02a12,24,u16_table,low,"[0, 922, 1331, 1741, 2150, 2560, 2970, 3789, ... (12 total)]",contiguous u16 values in plausible range
0x02a12,0x101d2a12,0x02a14,2,unknown,low,00 40,no classifier heuristic matched
0x02a14,0x101d2a14,0x02a2c,24,u16_table,low,"[0, 922, 1331, 1741, 2150, 2560, 2970, 3789, ... (12 total)]",contiguous u16 values in plausible range
0x02a2c,0x101d2a2c,0x02a2e,2,unknown,low,00 40,no classifier heuristic matched
0x02a2e,0x101d2a2e,0x02a46,24,u16_table,low,"[0, 922, 1331, 1741, 2150, 2560, 2970, 3789, ... (12 total)]",contiguous u16 values in plausible range
0x02a46,0x101d2a46,0x02a48,2,unknown,low,00 40,no classifier heuristic matched
0x02a48,0x101d2a48,0x02c4e,518,u16_table,low,"[0, 53, 86, 108, 130, 151, 173, 194, ... (259 total)]",contiguous u16 values in plausible range
0x02c4e,0x101d2c4e,0x02c50,2,unknown,low,00 50,no classifier heuristic matched
0x02c50,0x101d2c50,0x02c76,38,u16_table,low,"[0, 51, 66, 78, 100, 135, 182, 240, ... (19 total)]",contiguous u16 values in plausible range
0x02c76,0x101d2c76,0x02c78,2,unknown,low,00 50,no classifier heuristic matched
0x02c78,0x101d2c78,0x02c9e,38,u16_table,low,"[0, 51, 74, 86, 111, 143, 186, 240, ... (19 total)]",contiguous u16 values in plausible range
0x02c9e,0x101d2c9e,0x02ca0,2,unknown,low,00 30,no classifier heuristic matched
0x02ca0,0x101d2ca0,0x02e0c,364,u16_table,low,"[0, 41, 70, 86, 111, 147, 197, 254, ... (182 total)]",contiguous u16 values in plausible range
0x02e0c,0x101d2e0c,0x02e0e,2,unknown,low,00 80,no classifier heuristic matched
0x02e0e,0x101d2e0e,0x03094,646,u16_table,low,"[0, 0, 400, 800, 1200, 1600, 2400, 3200, ... (323 total)]",contiguous u16 values in plausible range
0x03094,0x101d3094,0x030ba,38,unknown,low,3d 2a 7b 54 00 80 00 00 3d 2a 7b 54 ...,no classifier heuristic matched
0x030ba,0x101d30ba,0x0310c,82,u16_table,low,"[0, 524, 0, 524, 0, 524, 0, 524, ... (41 total)]",contiguous u16 values in plausible range
0x0310c,0x101d310c,0x03112,6,unknown,low,b3 30 18 35 00 38,no classifier heuristic matched
0x03112,0x101d3112,0x0311c,10,u16_table,low,"[0, 3072, 3725, 4220, 7424]",contiguous u16 values in plausible range
0x0311c,0x101d311c,0x03122,6,unknown,low,52 2f 00 30 00 31,no classifier heuristic matched
0x03122,0x101d3122,0x0312c,10,u16_table,low,"[0, 3072, 3725, 4220, 7424]",contiguous u16 values in plausible range
0x0312c,0x101d312c,0x03132,6,unknown,low,52 2f 00 30 00 31,no classifier heuristic matched
0x03132,0x101d3132,0x0313c,10,u16_table,low,"[0, 3072, 3725, 4220, 7424]",contiguous u16 values in plausible range
0x0313c,0x101d313c,0x03142,6,unknown,low,52 2f 00 30 00 31,no classifier heuristic matched
0x03142,0x101d3142,0x0314c,10,u16_table,low,"[0, 3072, 3725, 4220, 7424]",contiguous u16 values in plausible range
0x0314c,0x101d314c,0x03152,6,unknown,low,52 2f 00 30 00 31,no classifier heuristic matched
0x03152,0x101d3152,0x0315c,10,u16_table,low,"[0, 3072, 3725, 4220, 7424]",contiguous u16 values in plausible range
0x0315c,0x101d315c,0x03162,6,unknown,low,52 2f 00 30 00 31,no classifier heuristic matched
0x03162,0x101d3162,0x0316c,10,u16_table,low,"[0, 3072, 3725, 4220, 7424]",contiguous u16 values in plausible range
0x0316c,0x101d316c,0x03172,6,unknown,low,52 2f 00 30 00 31,no classifier heuristic matched
0x03172,0x101d3172,0x0317c,10,u16_table,low,"[0, 3072, 3725, 4220, 7424]",contiguous u16 values in plausible range
0x0317c,0x101d317c,0x03182,6,unknown,low,52 2f 00 30 00 31,no classifier heuristic matched
0x03182,0x101d3182,0x0318c,10,u16_table,low,"[0, 3072, 3725, 4220, 7424]",contiguous u16 values in plausible range
0x0318c,0x101d318c,0x03192,6,unknown,low,52 2f 00 30 00 31,no classifier heuristic matched
0x03192,0x101d3192,0x0319c,10,u16_table,low,"[0, 3072, 3725, 4220, 7424]",contiguous u16 values in plausible range
0x0319c,0x101d319c,0x031a2,6,unknown,low,52 2f 00 30 00 31,no classifier heuristic matched
0x031a2,0x101d31a2,0x031ac,10,u16_table,low,"[0, 3072, 3725, 4220, 7424]",contiguous u16 values in plausible range
0x031ac,0x101d31ac,0x031b2,6,unknown,low,52 2f 00 30 00 31,no classifier heuristic matched
0x031b2,0x101d31b2,0x031bc,10,u16_table,low,"[0, 3072, 3725, 4220, 7424]",contiguous u16 values in plausible range
0x031bc,0x101d31bc,0x031c2,6,unknown,low,52 2f 00 30 00 31,no classifier heuristic matched
0x031c2,0x101d31c2,0x03282,192,u16_table,low,"[4096, 4096, 4009, 3891, 2432, 345, 73, 0, ... (96 total)]",contiguous u16 values in plausible range
0x03282,0x101d3282,0x03296,20,u16_axis,medium,"[0, 2048, 4096, 6144, 8192, 10240, 12288, 14336, ... (10 total)]","monotonic u16 axis, inc"
0x03296,0x101d3296,0x032aa,20,reserved_zero,high,0x00 × 20,may be deprecated/disabled field cleared by Ford
0x032aa,0x101d32aa,0x032d6,44,u16_table,low,"[655, 655, 655, 655, 655, 655, 655, 655, ... (22 total)]",contiguous u16 values in plausible range
0x032d6,0x101d32d6,0x032d8,2,unknown,low,00 80,no classifier heuristic matched
0x032d8,0x101d32d8,0x032dc,4,float_scalar,low,2.00781,standalone float32
0x032dc,0x101d32dc,0x032f5,25,reserved_zero,high,0x00 × 25,may be deprecated/disabled field cleared by Ford
0x032f5,0x101d32f5,0x032f8,3,unknown,low,40 00 40,no classifier heuristic matched
0x032f8,0x101d32f8,0x03304,12,float_table,low,"[2.004, 2.004, 2.004]",contiguous plausible float32s
0x03304,0x101d3304,0x03306,2,unknown,low,00 40,no classifier heuristic matched
0x03306,0x101d3306,0x03344,62,u16_table,low,"[0, 48, 96, 144, 192, 288, 480, 640, ... (31 total)]",contiguous u16 values in plausible range
0x03344,0x101d3344,0x03346,2,unknown,low,c0 2b,no classifier heuristic matched
0x03346,0x101d3346,0x03364,30,u16_table,low,"[0, 40, 80, 120, 160, 240, 320, 400, ... (15 total)]",contiguous u16 values in plausible range
0x03364,0x101d3364,0x03366,2,unknown,low,c0 2b,no classifier heuristic matched
0x03366,0x101d3366,0x03384,30,u16_table,low,"[0, 40, 80, 120, 160, 240, 320, 400, ... (15 total)]",contiguous u16 values in plausible range
0x03384,0x101d3384,0x03386,2,unknown,low,c0 2b,no classifier heuristic matched
0x03386,0x101d3386,0x033a4,30,u16_table,low,"[0, 40, 80, 120, 160, 240, 320, 400, ... (15 total)]",contiguous u16 values in plausible range
0x033a4,0x101d33a4,0x033a6,2,unknown,low,c0 2b,no classifier heuristic matched
0x033a6,0x101d33a6,0x033c4,30,u16_table,low,"[0, 32, 64, 96, 128, 192, 256, 320, ... (15 total)]",contiguous u16 values in plausible range
0x033c4,0x101d33c4,0x033c6,2,unknown,low,c0 2b,no classifier heuristic matched
0x033c6,0x101d33c6,0x033e4,30,u16_table,low,"[0, 32, 64, 96, 128, 192, 256, 320, ... (15 total)]",contiguous u16 values in plausible range
0x033e4,0x101d33e4,0x033e6,2,unknown,low,c0 2b,no classifier heuristic matched
0x033e6,0x101d33e6,0x03404,30,u16_table,low,"[0, 16, 32, 48, 64, 96, 128, 160, ... (15 total)]",contiguous u16 values in plausible range
0x03404,0x101d3404,0x03406,2,unknown,low,c0 2b,no classifier heuristic matched
0x03406,0x101d3406,0x03426,32,u16_axis,medium,"[0, 16, 32, 48, 64, 96, 128, 160, ... (16 total)]","monotonic u16 axis, inc"
0x03426,0x101d3426,0x03448,34,reserved_zero,high,0x00 × 34,may be deprecated/disabled field cleared by Ford
0x03448,0x101d3448,0x034f0,168,u16_table,low,"[132, 264, 402, 472, 505, 509, 509, 509, ... (84 total)]",contiguous u16 values in plausible range
0x034f0,0x101d34f0,0x034fc,12,u16_axis,medium,"[107, 105, 98, 73, 47, 31]","monotonic u16 axis, dec"
0x034fc,0x101d34fc,0x034fd,1,unknown,low,0f,no classifier heuristic matched
0x034fd,0x101d34fd,0x03508,11,reserved_zero,high,0x00 × 11,may be deprecated/disabled field cleared by Ford
0x03508,0x101d3508,0x03512,10,u16_table,low,"[14, 25, 32, 40, 43]",contiguous u16 values in plausible range
0x03512,0x101d3512,0x0351c,10,u16_axis,medium,"[44, 42, 33, 23, 14]","monotonic u16 axis, dec"
0x0351c,0x101d351c,0x0351d,1,unknown,low,09,no classifier heuristic matched
0x0351d,0x101d351d,0x03548,43,reserved_zero,high,0x00 × 43,may be deprecated/disabled field cleared by Ford
0x03548,0x101d3548,0x0366a,290,u16_table,low,"[77, 230, 435, 717, 1024, 1126, 2560, 0, ... (145 total)]",contiguous u16 values in plausible range
0x0366a,0x101d366a,0x036ae,68,unknown,low,00 32 00 50 00 00 00 1e 00 32 00 50 ...,no classifier heuristic matched
0x036ae,0x101d36ae,0x03704,86,u16_table,low,"[256, 174, 128, 0, 256, 174, 128, 0, ... (43 total)]",contiguous u16 values in plausible range
0x03704,0x101d3704,0x03708,4,unknown,low,00 28 00 32,no classifier heuristic matched
0x03708,0x101d3708,0x03720,24,u16_axis,medium,"[0, 1280, 3840, 6400, 9600, 12800, 15360, 17920, ... (12 total)]","monotonic u16 axis, inc"
0x03720,0x101d3720,0x0372c,12,float_axis,medium,"[0.8855, 0.99, 1]",monotonic inc
0x0372c,0x101d372c,0x0387c,336,u16_table,low,"[2851, 2532, 2412, 2303, 2207, 2124, 2052, 1926, ... (168 total)]",contiguous u16 values in plausible range
0x0387c,0x101d387c,0x0387e,2,unknown,low,00 40,no classifier heuristic matched
0x0387e,0x101d387e,0x03896,24,u16_table,low,"[0, 922, 1331, 1741, 2150, 2560, 2970, 3789, ... (12 total)]",contiguous u16 values in plausible range
0x03896,0x101d3896,0x03898,2,unknown,low,00 40,no classifier heuristic matched
0x03898,0x101d3898,0x038b0,24,u16_table,low,"[0, 922, 1331, 1741, 2150, 2560, 2970, 3789, ... (12 total)]",contiguous u16 values in plausible range
0x038b0,0x101d38b0,0x038b2,2,unknown,low,00 40,no classifier heuristic matched
0x038b2,0x101d38b2,0x038ca,24,u16_table,low,"[0, 922, 1331, 1741, 2150, 2560, 2970, 3789, ... (12 total)]",contiguous u16 values in plausible range
0x038ca,0x101d38ca,0x038cc,2,unknown,low,00 40,no classifier heuristic matched
0x038cc,0x101d38cc,0x038e4,24,u16_table,low,"[0, 922, 1331, 1741, 2150, 2560, 2970, 3789, ... (12 total)]",contiguous u16 values in plausible range
0x038e4,0x101d38e4,0x038e6,2,unknown,low,00 40,no classifier heuristic matched
0x038e6,0x101d38e6,0x038fe,24,u16_table,low,"[0, 922, 1331, 1741, 2150, 2560, 2970, 3789, ... (12 total)]",contiguous u16 values in plausible range
0x038fe,0x101d38fe,0x03900,2,unknown,low,00 40,no classifier heuristic matched
0x03900,0x101d3900,0x03918,24,u16_table,low,"[0, 922, 1331, 1741, 2150, 2560, 2970, 3789, ... (12 total)]",contiguous u16 values in plausible range
0x03918,0x101d3918,0x0391a,2,unknown,low,00 40,no classifier heuristic matched
0x0391a,0x101d391a,0x03932,24,u16_table,low,"[0, 922, 1331, 1741, 2150, 2560, 2970, 3789, ... (12 total)]",contiguous u16 values in plausible range
0x03932,0x101d3932,0x03934,2,unknown,low,00 40,no classifier heuristic matched
0x03934,0x101d3934,0x0394c,24,u16_table,low,"[0, 922, 1331, 1741, 2150, 2560, 2970, 3789, ... (12 total)]",contiguous u16 values in plausible range
0x0394c,0x101d394c,0x0394e,2,unknown,low,00 40,no classifier heuristic matched
0x0394e,0x101d394e,0x03966,24,u16_table,low,"[0, 922, 1331, 1741, 2150, 2560, 2970, 3789, ... (12 total)]",contiguous u16 values in plausible range
0x03966,0x101d3966,0x03968,2,unknown,low,00 40,no classifier heuristic matched
0x03968,0x101d3968,0x03980,24,u16_table,low,"[0, 922, 1331, 1741, 2150, 2560, 2970, 3789, ... (12 total)]",contiguous u16 values in plausible range
0x03980,0x101d3980,0x03982,2,unknown,low,00 40,no classifier heuristic matched
0x03982,0x101d3982,0x0399a,24,u16_table,low,"[0, 922, 1331, 1741, 2150, 2560, 2970, 3789, ... (12 total)]",contiguous u16 values in plausible range
0x0399a,0x101d399a,0x0399c,2,unknown,low,00 40,no classifier heuristic matched
0x0399c,0x101d399c,0x03ba2,518,u16_table,low,"[0, 53, 86, 108, 130, 151, 173, 194, ... (259 total)]",contiguous u16 values in plausible range
0x03ba2,0x101d3ba2,0x03ba4,2,unknown,low,00 50,no classifier heuristic matched
0x03ba4,0x101d3ba4,0x03bca,38,u16_table,low,"[0, 51, 66, 78, 100, 135, 182, 240, ... (19 total)]",contiguous u16 values in plausible range
0x03bca,0x101d3bca,0x03bcc,2,unknown,low,00 50,no classifier heuristic matched
0x03bcc,0x101d3bcc,0x03bf2,38,u16_table,low,"[0, 51, 74, 86, 111, 143, 186, 240, ... (19 total)]",contiguous u16 values in plausible range
0x03bf2,0x101d3bf2,0x03bf4,2,unknown,low,00 30,no classifier heuristic matched
0x03bf4,0x101d3bf4,0x03d60,364,u16_table,low,"[0, 41, 70, 86, 111, 147, 197, 254, ... (182 total)]",contiguous u16 values in plausible range
0x03d60,0x101d3d60,0x03d62,2,unknown,low,00 80,no classifier heuristic matched
0x03d62,0x101d3d62,0x03fe8,646,u16_table,low,"[0, 0, 400, 800, 1200, 1600, 2400, 3200, ... (323 total)]",contiguous u16 values in plausible range
